,Geolocation,Date,polarity
0,"ADIYAMAN,Turkey",2017-01-05 06:39:54+00:00,2
1,"ADIYAMAN,Turkey",2017-01-17 12:03:15+00:00,1
2,"ADIYAMAN,Turkey",2017-01-19 12:13:53+00:00,3
3,"ADIYAMAN,Turkey",2017-01-20 12:55:23+00:00,1
4,"ADIYAMAN,Turkey",2017-01-23 12:37:44+00:00,0
5,"ADIYAMAN,Turkey",2017-01-24 12:39:34+00:00,3
6,"ADIYAMAN,Turkey",2017-01-26 10:00:27+00:00,1
7,"ADIYAMAN,Turkey",2017-01-27 12:50:59+00:00,-2
8,"ADIYAMAN,Turkey",2017-01-30 07:02:46+00:00,-1
9,"ADIYAMAN,Turkey",2017-02-07 12:17:51+00:00,-1
10,"ADIYAMAN,Turkey",2017-02-12 13:31:35+00:00,0
11,"ADIYAMAN,Turkey",2017-02-14 08:05:36+00:00,1
12,"ADIYAMAN,Turkey",2017-02-15 12:16:22+00:00,1
13,"ADIYAMAN,Turkey",2017-02-16 12:20:21+00:00,-1
14,"ADIYAMAN,Turkey",2017-02-24 13:32:02+00:00,-1
15,"ADIYAMAN,Turkey",2017-02-27 07:15:41+00:00,0
16,"ADIYAMAN,Turkey",2017-02-28 12:38:37+00:00,0
17,"ADIYAMAN,Turkey",2017-03-06 13:38:31+00:00,1
18,"ADIYAMAN,Turkey",2017-03-07 12:38:23+00:00,1
19,"ADIYAMAN,Turkey",2017-03-09 13:25:40+00:00,1
20,"ADIYAMAN,Turkey",2017-03-10 12:57:22+00:00,-1
21,"ADIYAMAN,Turkey",2017-03-13 07:45:45+00:00,2
22,"ADIYAMAN,Turkey",2017-03-17 12:12:22+00:00,1
23,"ADIYAMAN,Turkey",2017-03-18 07:30:19+00:00,4
24,"ADIYAMAN,Turkey",2017-03-20 07:34:56+00:00,1
25,"ADIYAMAN,Turkey",2017-03-21 13:02:42+00:00,1
26,"ADIYAMAN,Turkey",2017-03-22 12:49:47+00:00,1
27,"ADIYAMAN,Turkey",2017-03-23 13:01:01+00:00,1
28,"ADIYAMAN,Turkey",2017-03-24 11:59:26+00:00,1
29,"ADIYAMAN,Turkey",2017-03-27 13:45:34+00:00,1
30,"ADIYAMAN,Turkey",2017-03-31 13:43:46+00:00,1
