,Text,Date,Hashtags,Location
0,Arkadaşlar götünüzden vitamin uydurmayın. Vitaminlerin A-B-C-D-E-K olmak üzere 6 çeşidi vardır.,2020-03-30 13:52:53+00:00,,"Adana,Turkey"
1,PLAY & Let The Fun Begin Like + RT + Click https://www.reddeergames.com Did You see it? ,2020-07-28 20:47:23+00:00,,"Adana,Turkey"
2,Ballı İştah Macunu İştah açar Vitamin deposu Bağışıklık güçlendirir Hastalıklardan korur Gelişimi destekler Alerji ve astımda tedavi edicidir Toksin parazit temizler Büyüme hormonu etkilidir… https://www.instagram.com/p/B-E43IND0DG/?igshid=7y37xmwcf8ct,2020-03-23 12:38:57+00:00,,"Adana,Turkey"
3,Şalgam Suyu ile yapılan Havuç turşularımız Soğuk #şalgam #şalgamsuyu #havuç#havuçturşusu #turşu #vitamin #adana #turunç #cihangir #cihangirkebap #kebap #cihangirkebapkaburga #kaburga #food #foodporn #yummy #nusret #sale #salt #cznburak #yemek #acılışalgam – at Cihangir Kebap,2020-02-10 08:22:45+00:00,#tur #vitamin #adana #turun #cihangir #cihangirkebap #kebap #cihangirkebapkaburga #kaburga #food #foodporn #yummy #nusret #sale #salt #cznburak #yemek #ac,"Adana,Turkey"
4,Kanser hastasi olan Yunus Yuva kardeşimizin vitamin ilacının birini eczaci bir arkadaşımız temin etti..Bu ilactanda acil lazım. Desteklerinizi bekliyoruz. ,2020-02-03 22:07:22+00:00,,"Adana,Turkey"
5,"Şalgam vitamin kaynağıdır. A,B, C vitaminlerinin yanısıra B1,B2,B3 vitaminlerince zengindir.B grubu vitaminler bağışıklık sisteminin düzgün işlemesini sağlar. Şalgamın faydaları için bakınız http://www.kilikya.com.tr #kilikyatr #kilikyaşalgam #adanaşalgami – at Kilikya salgam",2020-01-29 07:21:59+00:00,#kilikyatr #kilikya #adana,"Adana,Turkey"
6,Un año sin mi mar Caribe y me empieza a dar como depresión!!! I need vitamin SEA!! ,2019-12-28 20:09:15+00:00,,"Adana,Turkey"
7,Doktor vitamin takviyesi yaptı herhalde ama antibiyotik olmaz dedi,2019-12-21 22:09:11+00:00,,"Adana,Turkey"
8,Canım memleketim ya vitamin büfeleri ayrı şalgamcısı ayrı güzel abi cok hastayım diyorsun bana bırak diyor sabaha cin gibisin,2019-11-26 15:24:39+00:00,,"Adana,Turkey"
9,"“Keyifli, Sağlıklı pazarlar” Nar, yeryüzündeki en şifalı meyvelerden biridir ve içerdiği vitamin ve mineraller ile bağışıklık sistemini güçlendirip, hastalıklardan korur. Antioksidan, anti-viral ve anti-tümör… https://www.instagram.com/p/B49nvneBdEl/?igshid=3h9325lqweax",2019-11-17 10:15:21+00:00,,"Adana,Turkey"
10,"Vitamin, balık yağı hapları. Lolipop ve jelibon vitaminler hiç birini de kullanmıyorum.",2019-11-01 22:02:19+00:00,,"Adana,Turkey"
