,Location,Date,polarity
0,"Adana,Turkey",2017-07-10 13:08:27+00:00,-1.0
1,"Adana,Turkey",2017-07-11 08:06:49+00:00,-1.0
2,"Adana,Turkey",2017-08-23 20:38:29+00:00,1.0
3,"Adana,Turkey",2017-11-23 10:21:39+00:00,-1.0
4,"Adana,Turkey",2018-08-04 06:48:24+00:00,-2.0
5,"Adana,Turkey",2018-10-10 05:30:36+00:00,1.0
6,"Adana,Turkey",2018-12-07 11:49:47+00:00,-2.0
7,"Adana,Turkey",2019-01-29 07:32:33+00:00,1.0
8,"Adana,Turkey",2019-03-25 18:58:12+00:00,-2.0
9,"Adana,Turkey",2019-04-09 14:38:57+00:00,1.0
10,"Adana,Turkey",2019-04-30 22:07:17+00:00,1.0
11,"Adana,Turkey",2019-06-11 18:56:47+00:00,1.0
12,"Adana,Turkey",2019-08-03 19:49:14+00:00,1.0
13,"Adana,Turkey",2019-09-19 16:28:49+00:00,0.0
14,"Adana,Turkey",2019-09-19 18:08:24+00:00,1.0
15,"Adana,Turkey",2019-10-14 09:55:06+00:00,3.0
16,"Adana,Turkey",2019-10-16 06:14:46+00:00,-1.0
17,"Adana,Turkey",2019-10-20 19:20:47+00:00,2.0
18,"Adana,Turkey",2019-11-17 10:15:21+00:00,1.0
19,"Adana,Turkey",2019-11-26 15:24:39+00:00,1.0
20,"Adana,Turkey",2019-12-28 20:09:15+00:00,-2.0
21,"Adana,Turkey",2020-01-29 07:21:59+00:00,3.0
22,"Adana,Turkey",2020-02-03 22:07:22+00:00,-1.0
23,"Adana,Turkey",2020-02-10 08:22:45+00:00,-2.0
24,"Adana,Turkey",2020-03-23 12:38:57+00:00,-2.0
25,"Adana,Turkey",2020-03-30 13:52:53+00:00,1.0
26,"Adıyaman,Turkey",2020-03-31 23:47:08+00:00,1.0
27,"Adıyaman,Turkey",2020-03-31 23:47:21+00:00,-1.0
28,"Adıyaman,Turkey",2020-03-31 23:47:41+00:00,-1.0
29,"Adıyaman,Turkey",2020-03-31 23:47:50+00:00,-3.0
30,"Adıyaman,Turkey",2020-03-31 23:48:20+00:00,-1.0
31,"Adıyaman,Turkey",2020-03-31 23:48:32+00:00,1.0
32,"Adıyaman,Turkey",2020-03-31 23:48:47+00:00,-1.0
33,"Adıyaman,Turkey",2020-03-31 23:49:12+00:00,-1.0
34,"Adıyaman,Turkey",2020-03-31 23:49:21+00:00,0.0
35,"Adıyaman,Turkey",2020-03-31 23:49:23+00:00,1.0
