,Text,Date,Hashtags
0,milli piyangocu bijuterici açık belli saatte eczane kapalı. Bu uygulama ya altunizadede son diyoruz.,2017-01-27 12:02:33+00:00,
1,Şehrimizin Altunizade ilçesinde Capitolde diğer dükkanlar gibi açık eczane istiyoruz.Eczanemizde erken kapamayason,2017-01-27 12:01:07+00:00,
2,Şehrimizde eczane terörüne son. Altunizadede nöbetçi eczane değil 24 saat açık eczane istiyoruz.,2017-01-27 11:59:35+00:00,
3,İyi geceler nöbetçi eczane gibi sabaha kadar açık olan sevdiceğim inş derdin falan vardır umarım yalaklarla takılmıyosundur,2017-01-24 22:10:46+00:00,
4,"İstanbulda saat 05:00 da nöbetçi eczaneye ilaç almaya gittim.Kapı kilitli,zincirli ama eczane açık.Bana ilaçları KEDİ kapısından verdiler ",2017-01-22 04:18:42+00:00,
5,eczane saatlerinde sınırlamaya son avm açık eczane kapalı,2017-01-21 15:08:00+00:00,
6,bakkal manav hafta sonu bayram açık eczaneler kapalı. Avm ler açık. Her dükkan açık eczane kapalı. Koş nöbetçi eczaneye.vicdan,2017-01-21 14:48:58+00:00,
7,@mngkargo bir kere de şaşırtın beni ve yalan beyanda bulunmadan kargomu teslim edin!yerinizde olmadığınızdanmış!adres eczane 7ye kadar açık!,2017-01-21 08:15:25+00:00,
8,acik eczane bulamayip sabahin 5:30da ayyaslar gibi marketten alkol aldim gargara etmek icin... satici da zerre sasirmadi aq,2017-01-19 23:19:03+00:00,
9,Tıp fakültesinin karşısında bi tane açık eczane yok,2017-01-13 16:34:39+00:00,
10,#YaAkPartiOlmasaydı ya demeye gerek yok hersey acik hastane eczane sgk kuyruklarinda ölmeye devam ederdik...,2017-01-09 13:27:08+00:00,#YaAkPartiOlmasayd
11,Kanka o çocuk vatsapta nöbetçi eczane gibi sürekli açık ama yinede sen Bilirsin,2017-01-08 07:00:20+00:00,
12,Kanka o kız whatsapta nobetcı eczane gıbı 24 saat acık ama genede sen bılırsın yani,2017-01-05 21:56:13+00:00,
13,Açık eczane bulmak bu kadar zor olabilir mi bi memlekette yaaa (@Orhaniye Mahallesi in Muğla) https://www.swarmapp.com/c/cFx9IsNvFmV,2017-01-02 04:59:38+00:00,
14,oha napıcan acık eczane falan bulursunuz acilde annene dedin mi,2017-02-25 21:27:51+00:00,
15,. @HIZIR07 seni götünden bi sikerim Ambulansss diye bağıra bağıra açık eczane ararsın amk satılmış yavşak götvereni.,2017-02-19 14:58:10+00:00,
16,"Günaydın sabahın köründe işe gidenler, Sana da günaydın nöbetçi eczane, Günaydın gece bekçisi amca 24saat açık börekçi sana da günaydın!",2017-02-18 04:44:56+00:00,
17,@BA_Yildirim Her sokak eczane dolu.neden 7/24/365 açık eczaneler yok? Nöbetçi eczane bir kader mi? Nasıl yardımcı olabiliriz?,2017-02-08 11:55:46+00:00,
18,keşke baban o gece seks sevdasından vazgeçseydi ya da açık eczane arasaydı da senin gibi bi göt lalesi dünyaya gelmeseydi.,2017-03-28 21:13:52+00:00,
19,"EĞİTİM HAKKINDA Odamız ve Pfizer ilaç işbirliği ile 5 Nisan 2017 Çarşamba günü Novotel’de ""Açık Eczane"" temalı... http://keo.org.tr/haber_detay.php?id=3005",2017-03-27 06:22:14+00:00,
20,"23 Mart 2017 tarihinde Crowne Plaza'da Pfizer tarafından ""Açık Eczane"" toplantısı gerçekleştirilecektir. Katılmak... http://fb.me/6tklnkLUm",2017-03-15 11:42:30+00:00,
21,- Nöbetci eczane açık mıdır bu saatte? + ??##€#$\%_=?,2017-03-11 20:34:48+00:00,
22,"yedi buçuğa kadar açık, pazar günü nöbetçi eczane.",2017-03-11 12:49:29+00:00,
23,Açık Eczane Bulamazsan Bulduğun Eczaneyi Açtıracaksın Baba Olmak Bunu Gerektirir ,2017-03-06 17:16:48+00:00,
24,Kuzguncuk'ta açık kolonya satan eski bir eczane olabilirdik.,2017-03-05 17:04:07+00:00,
25,evdekiler ise yaramaz. Acık bir eczane aramalısınız belkide..,2017-04-28 18:37:15+00:00,
26,Nöbetçi Eczane uygulamasının kalkması her sokakta 1 tane 7/24/365 ecz açık olsun istiyoruz,2017-04-27 14:15:16+00:00,
27,-alo +nöbetçi eczane buyrun - nöbetçi eczane mi + evet - açık mısınız? + #_#|%]&gt;|$|€\$,2017-04-25 22:31:00+00:00,
28,keşke o gün açık eczane olsaymış ne diyeyim bunlara laf anlatamazsın,2017-04-21 14:40:58+00:00,
29,"Bizim Evler sakinlerinin sağlığı için, İjlal Öner Eczane'sinin kapıları her zaman açık... #BizimEvler #BizimÇarşı #sağlık #eczane ",2017-04-12 14:29:19+00:00,#BizimEvler #Bizim #sa #eczane
30,RUH SAĞLIĞI BOZUK OLMAYAN KIZ MAKYAJI https://youtu.be/OGsrU_j6XeU ben de teoman dinliyorum :) bu saatte açık eczane?,2017-04-10 15:19:13+00:00,
31,Bu saatte açık eczane?,2017-04-10 08:49:01+00:00,
32,"bir pazar günü açık boncukcu var mi diye sorarim :""ilerde nöbetçi boncukcu var "" :))) nöbetçi eczane anlarimda nöbetçi boncukcu bir ilk :)))",2017-04-09 17:40:10+00:00,
33,"Odamız ve Pfizer İlaç İşbirliği ile 05 Nisan 2017 günü ""Açık Eczane"" temalı eğitim programı Novotel'de düzenlendi. https://keo.org.tr/haber_detay.php?id=3021",2017-04-05 13:32:08+00:00,
34,"Sınavdan önce koştura kostura açık eczane arayıp taylot aldım biraz rahatlatsın diye, megerse eczaneye içsem yinede fayda etmezmiş bu sınava",2017-04-05 07:27:13+00:00,
35,"Dün ayni saatte açik olan eczane bugün kapali. Neden, çünkü ona ihtiyacim var.",2017-04-04 05:35:19+00:00,
36,@FatmaSahin tıp fakültesinin karşısındaki hiçbir eczane açık değil şu an hastanenin yakınında olan eczanelerin tümünün kapalı olmaması gerek,2017-05-28 18:48:04+00:00,
37,Ikinci kez nasılsa alırım diye diye unuttum. Ve kuyumcular eczane titizliği ile erkenden kapanır v pazar asla açık olmazlar. ,2017-05-20 20:16:11+00:00,
38,Ajskskdkiglyltllckslcllzk Keşke o gece açık bi eczane falan olsaydi yaaa MAL https://twitter.com/BaharCandanBC/status/863451032784965632,2017-05-20 14:17:58+00:00,
39,Bütün hafta çok iyiydim şuan hastayım. Ne sağlık ocağı açık ne eczane...,2017-05-19 08:36:20+00:00,
40,Sabahın köründe manav bile açık bi eczane açık değil aq,2017-05-15 04:29:47+00:00,
41,Ulan keşke sen olduğun gece baban açık eczane bulsaymis,2017-05-07 10:02:42+00:00,
42,Hear me roar yavrum o penaltıyı atan adamların babaları keşke açık eczane bulaydılar de ağla biz o kupayı yıllar önce aldık,2017-05-03 21:44:49+00:00,
43,Açık eczane aramaktan nefret ediyorum ,2017-05-02 23:16:25+00:00,
44,"- Narsistler için diğer insanlar, 24 saat açık kalması gereken eczane gibidir. Hiç bedel ödemeden şifa bulmak isterler.",2017-05-01 19:36:43+00:00,
45,Eczane açık değildi..Sokaktaki orospuyla prezavatifsiz birlikte oldum..Osman o gün doğdu..Lanet olsun o güne o eczacıya..,2017-06-28 11:56:28+00:00,
46,aleyna geçmiş olsun açık eczane bulabildiniz mi? umarım aradığın ilacı bulmuşsundur,2017-06-27 18:21:20+00:00,
47,"saati mi varmış onun, varsa ben nöbetçi eczane gibiyim hep açık :d",2017-06-25 21:48:16+00:00,
48,"SON DAKİKA : ""Bayramda PTT, eczane, bankalar ve noter açık mı?"" http://hephavadis.com/bayramda-ptt-eczane-bankalar-ve-noter-acik-mi-h48787.html Bayramda PTT, eczane, bankalar ve noter a�... ",2017-06-25 07:49:22+00:00,
49,"PTT, eczane, bankalar ve noter bayramda açık mı? https://goo.gl/uajbWZ",2017-06-25 07:42:20+00:00,
50,"Bayramda hangi kurumlar hizmet veremeyecek?Vatandaşlar, bayramda PTT, eczane, banka ve noterlerin açık olup olmadı… http://ift.tt/2u2CDJK",2017-06-25 07:39:15+00:00,
51,"1- Kentsel dönüşümde halka açık büyük market,eczane, hastane, muayenehane gibi yerlere Avrupadaki gibi otoparklar yapılsa çok güzel olur.",2017-06-24 13:13:11+00:00,
52,eski sevgililerimi seviyorum 7/24 açık eczane gibiler,2017-06-23 11:22:07+00:00,
