,Text,Date,Hashtags
0,Ner merhamet ne sevgi çözüm değil ama sessizlik ilaç,2017-01-31 23:53:45+00:00,
1,"bir de sınav zamanı, özellikle de sabahlarken sesinin ilaç gibi geldiğini öğrendim. &lt;3",2017-01-31 23:51:20+00:00,
2,bu issizlikte agac kokunden sonra ilac gibi olur ,2017-01-31 23:50:20+00:00,
3,"""Mantığı kullanmayı reddeden biriyle tartışmaya girmek, bir ölüye ilaç tedavisi uygulamaya benzer."" diyor T.Paine. Beyin yok ya!",2017-01-31 23:48:01+00:00,
4,evet uyuyamıyorum ama ..ilaç alıyorum ancak şimdi şimdi...yüreğin sağolsun kardeş ..şakaydı sağolasın..üzülme sen iyi gecelr,2017-01-31 23:39:23+00:00,
5,Kötü şeyler hissettiğimde senin iyi geleceğine inanarak yaşadım ama hiç iyi gelir miydin öğrenemedim. Kendi kendime ilaç olmaktan yoruldum.,2017-01-31 23:29:46+00:00,
6,En güzel ilaç ellerindi ben saatlerini kaçırdım.,2017-01-31 23:22:48+00:00,
7,"'İnternet bilmem ki anesteziyi bileyim' Sevgilisiyle bir olup, internet üzerinden temin ettiği lokal anestezi ilac… http://ift.tt/2jSKkQg",2017-01-31 23:14:10+00:00,
8,bereket tv de gördük bu resmi az önce cinsellikle alakalı ilaç satıyorlar senin resmi kullanarak,2017-01-31 23:06:53+00:00,
9,bir de cevabı söylerken sistematik git.mesela görh ben sordum ilk başta söylemen gereken yaşam tarzı değişikliği daha sonra ilaç vb,2017-01-31 23:02:18+00:00,
10,Farazi&Kayra ilaç gibi amınakoyyim,2017-01-31 23:00:17+00:00,
11,nöbet ilaç uyku https://www.pscp.tv/w/a1-8ZzFlVmpZZHhETnFZS0x8MWdxeHZaTk96Z2x4QmxO4YeTp0zHccYa5jFoQqnoBDk8AzzH8Mtr7zFDUPVY,2017-01-31 22:57:43+00:00,
12,"Evin her yeri virüs, evin her yeri öksürük, evin her yeri peçete, evin her yeri ilaç ",2017-01-31 22:53:10+00:00,
13,Yıllardır eczaneden ilaç alır reçetenin arkasına telefon numarasını yazıyorum daha bir kere arayıp nasılsın iyileştin mi diyen olmadı,2017-01-31 22:45:45+00:00,
14,Gamsızlık eczanelerde ilaç olarak satılmalı,2017-01-31 22:44:01+00:00,
15,Zamanla kesinlikle ilaç değil ama araç' doğruyu yanlışı daha iyi görebilmek için..,2017-01-31 22:37:31+00:00,
16,Zor bi ders seçiminden sonra ilaç gibi ,2017-01-31 22:35:44+00:00,
17,Artık kadınların yerine erkeklerin vücudu iş yapıyor artık erkeklerin yerine kadınlar suya ilaç katıyor #NotAlınBunu Türk dizileri Ahlaksız,2017-01-31 22:31:36+00:00,#NotAl
18,"Son bir ayda 20 yildir icmedigim kadar ilac ictim, hersey icin tesekkurler gercekten, alerji hapi bagimlisi olmamada az kaldi",2017-01-31 22:28:30+00:00,
19,"@RT_Erdogan @DrRecepAkdag ilaç tedarik edilmiş,diğerleri kaderine bırakılmış. Hala diyorum özel hastanelere vermiş olduğunuz imkanı masum",2017-01-31 22:28:01+00:00,
20,@RT_Erdogan @DrRecepAkdag yararı yok. Duyduğum Sma t 1 hastaları için ilaç bekleyen o kadar hasta bebek var ki siz sadece 10 hasta için,2017-01-31 22:26:56+00:00,
21,Bir insansa 20 tane ilaç verilmez ki,2017-01-31 22:26:35+00:00,
22,Abi sizce ali koç fenere ilaç gibi gelebilirmi #SonSayfa,2017-01-31 22:22:45+00:00,#SonSayfa
23,diş sıkma sebebin stres mi yoksa ordaki kaslar ya da çene ekleminden mi kaynaklı ama stresse olur ilaç ama diğerleri farklı,2017-01-31 22:19:26+00:00,
24,Yarın yine hastaneye gidiyorum 300 den fazla ilaç verdin kadın yetmedi miiii,2017-01-31 22:16:02+00:00,
25,sabah çık ilaç al ya da geçerken bırakayım,2017-01-31 22:15:00+00:00,
26,"stresten falan dişlerini sıkıyorsan ondan da olur, kullandığın bi ilaç kaynaklı da olabilir ya da direkt sert fırçalıyor olabil",2017-01-31 22:14:11+00:00,
27,"Tadini cikarin,insana ilac gibi geliyorlar ama cok cabuk buyuyorlar.Sevgiyle,saglikla buyusun. @fguzfguz",2017-01-31 22:06:08+00:00,
28,Ulan 75 tl ilaç parası verdim hala zor nefes alıyorum ,2017-01-31 22:01:28+00:00,
29, ¡ILAC escuela votada como la #1️⃣ en Canadá! ¿Y tú qué esperas para estudiar inglés en Canadá? Para más... http://fb.me/1blXByeVT,2017-01-31 22:00:05+00:00,#1
30,"Yalnız, kardeş, elindeki baltayı gördüm de! Sanırım bu ilaç kesmez seni. Ağır siklet ilaçlara yönel istersen :))",2017-01-31 21:55:56+00:00,
31,Suyun içine atılan ilaç yüzünden kendimi toparlıyamıyorum ,2017-01-31 21:54:55+00:00,
