,Period,TÜFE (Yıllık % Değişim),TÜFE (Aylık % Değişim)
4,202004,10.94,0.85
5,202003,11.86,0.57
6,202002,12.37,0.35
7,202001,12.15,1.35
8,201912,11.84,0.74
9,201911,10.56,0.38
10,201910,8.55,2
11,201909,9.26,0.99
12,201908,15.01,0.86
13,201907,16.65,1.36
14,201906,15.72,0.03
15,201905,18.71,0.95
16,201904,19.50,1.69
17,201903,19.71,1.03
18,201902,19.67,0.16
19,201901,20.35,1.06
20,201812,20.30,-0.40
21,201811,21.62,-1.44
22,201810,25.24,2.67
23,201809,24.52,6.30
24,201808,17.90,2.30
25,201807,15.85,0.55
26,201806,15.39,2.61
27,201805,12.15,1.62
28,201804,10.85,1.87
29,201803,10.23,0.99
30,201802,10.26,0.73
31,201801,10.35,1.02
32,201712,11.92,0.69
33,201711,12.98,1.49
34,201710,11.90,2.08
35,201709,11.20,0.65
36,201708,10.68,0.52
37,201707,9.79,0.15
38,201706,10.90,-0.27
39,201705,11.72,0.45
40,201704,11.87,1.31
41,201703,11.29,1.02
42,201702,10.13,0.81
43,201701,9.22,2.46
