Period,Province,Product,Quantity,Month,Year
201701,ADANA,PRODUCT_A,346,01,2017
201701,ADANA,PRODUCT_B,4838,01,2017
201701,ADANA,PRODUCT_C,1004,01,2017
201701,ADANA,PRODUCT_V,20,01,2017
201701,ADANA,PRODUCT_X,910,01,2017
201701,ADIYAMAN,PRODUCT_A,36,01,2017
201701,ADIYAMAN,PRODUCT_B,45,01,2017
201701,ADIYAMAN,PRODUCT_C,206,01,2017
201701,ADIYAMAN,PRODUCT_V,0,01,2017
201701,ADIYAMAN,PRODUCT_X,44,01,2017
201701,AFYON,PRODUCT_A,66,01,2017
201701,AFYON,PRODUCT_B,1714,01,2017
201701,AFYON,PRODUCT_C,456,01,2017
201701,AFYON,PRODUCT_V,3,01,2017
201701,AFYON,PRODUCT_X,236,01,2017
201701,AKSARAY,PRODUCT_A,36,01,2017
201701,AKSARAY,PRODUCT_B,1105,01,2017
201701,AKSARAY,PRODUCT_C,185,01,2017
201701,AKSARAY,PRODUCT_V,0,01,2017
201701,AKSARAY,PRODUCT_X,70,01,2017
201701,AMASYA,PRODUCT_A,34,01,2017
201701,AMASYA,PRODUCT_B,535,01,2017
201701,AMASYA,PRODUCT_C,191,01,2017
201701,AMASYA,PRODUCT_V,0,01,2017
201701,AMASYA,PRODUCT_X,214,01,2017
201701,ANKARA,PRODUCT_A,1580,01,2017
201701,ANKARA,PRODUCT_B,6348,01,2017
201701,ANKARA,PRODUCT_C,3460,01,2017
201701,ANKARA,PRODUCT_V,901,01,2017
201701,ANKARA,PRODUCT_X,1288,01,2017
201701,ANTALYA,PRODUCT_A,552,01,2017
201701,ANTALYA,PRODUCT_B,5742,01,2017
201701,ANTALYA,PRODUCT_C,1546,01,2017
201701,ANTALYA,PRODUCT_V,-14,01,2017
201701,ANTALYA,PRODUCT_X,475,01,2017
201701,ARDAHAN,PRODUCT_A,0,01,2017
201701,ARDAHAN,PRODUCT_B,21,01,2017
201701,ARDAHAN,PRODUCT_C,29,01,2017
201701,ARDAHAN,PRODUCT_V,0,01,2017
201701,ARDAHAN,PRODUCT_X,12,01,2017
201701,ARTVİN,PRODUCT_A,13,01,2017
201701,ARTVİN,PRODUCT_B,14,01,2017
201701,ARTVİN,PRODUCT_C,62,01,2017
201701,ARTVİN,PRODUCT_V,0,01,2017
201701,ARTVİN,PRODUCT_X,27,01,2017
201701,AYDIN,PRODUCT_A,198,01,2017
201701,AYDIN,PRODUCT_B,3364,01,2017
201701,AYDIN,PRODUCT_C,532,01,2017
201701,AYDIN,PRODUCT_V,26,01,2017
201701,AYDIN,PRODUCT_X,613,01,2017
201701,AĞRI,PRODUCT_A,7,01,2017
201701,AĞRI,PRODUCT_B,1207,01,2017
201701,AĞRI,PRODUCT_C,430,01,2017
201701,AĞRI,PRODUCT_V,0,01,2017
201701,AĞRI,PRODUCT_X,126,01,2017
201701,BALIKESİR,PRODUCT_A,166,01,2017
201701,BALIKESİR,PRODUCT_B,6820,01,2017
