Period,Product,Quantity
201701,PRODUCT_A,12289
201701,PRODUCT_B,152632
201701,PRODUCT_C,52767
201701,PRODUCT_V,4905
201701,PRODUCT_X,19375
201702,PRODUCT_A,11583
201702,PRODUCT_B,149843
201702,PRODUCT_C,46387
201702,PRODUCT_V,11635
201702,PRODUCT_X,18863
201703,PRODUCT_A,12040
201703,PRODUCT_B,188694
201703,PRODUCT_C,46790
201703,PRODUCT_V,13120
201703,PRODUCT_X,19959
201704,PRODUCT_A,10902
201704,PRODUCT_B,151354
201704,PRODUCT_C,42640
201704,PRODUCT_V,6278
201704,PRODUCT_X,17891
201705,PRODUCT_A,12201
201705,PRODUCT_B,167424
201705,PRODUCT_C,45626
201705,PRODUCT_V,12560
201705,PRODUCT_X,19651
201706,PRODUCT_A,11453
201706,PRODUCT_B,120641
201706,PRODUCT_C,43395
201706,PRODUCT_V,14104
201706,PRODUCT_X,15839
201707,PRODUCT_A,12224
201707,PRODUCT_B,130893
201707,PRODUCT_C,47277
201707,PRODUCT_V,3379
201707,PRODUCT_X,16534
201708,PRODUCT_A,12313
201708,PRODUCT_B,146244
201708,PRODUCT_C,52361
201708,PRODUCT_V,8148
201708,PRODUCT_X,15378
201709,PRODUCT_A,14241
201709,PRODUCT_B,184264
201709,PRODUCT_C,55425
201709,PRODUCT_V,18387
201709,PRODUCT_X,16552
201710,PRODUCT_A,13246
201710,PRODUCT_B,144721
201710,PRODUCT_C,56254
201710,PRODUCT_V,21400
201710,PRODUCT_X,19671
201711,PRODUCT_A,12974
201711,PRODUCT_B,151072
201711,PRODUCT_C,55067
201711,PRODUCT_V,14364
201711,PRODUCT_X,20365
201712,PRODUCT_A,13628
201712,PRODUCT_B,148818
201712,PRODUCT_C,56618
201712,PRODUCT_V,8422
201712,PRODUCT_X,21068
201801,PRODUCT_A,15246
201801,PRODUCT_B,157414
201801,PRODUCT_C,62320
201801,PRODUCT_V,4743
201801,PRODUCT_X,20617
201802,PRODUCT_A,14274
201802,PRODUCT_B,150846
201802,PRODUCT_C,55892
201802,PRODUCT_V,12848
201802,PRODUCT_X,20509
201803,PRODUCT_A,14727
201803,PRODUCT_B,164642
201803,PRODUCT_C,49577
201803,PRODUCT_V,15225
201803,PRODUCT_X,19925
201804,PRODUCT_A,13150
201804,PRODUCT_B,112746
201804,PRODUCT_C,47229
201804,PRODUCT_V,7750
201804,PRODUCT_X,18261
201805,PRODUCT_A,15371
201805,PRODUCT_B,137825
201805,PRODUCT_C,52516
201805,PRODUCT_V,6795
201805,PRODUCT_X,20182
201806,PRODUCT_A,14963
201806,PRODUCT_B,125701
201806,PRODUCT_C,51794
201806,PRODUCT_V,7782
201806,PRODUCT_X,17336
201807,PRODUCT_A,14982
201807,PRODUCT_B,110656
201807,PRODUCT_C,52946
201807,PRODUCT_V,4319
201807,PRODUCT_X,18370
201808,PRODUCT_A,14634
201808,PRODUCT_B,65064
201808,PRODUCT_C,60434
201808,PRODUCT_V,3835
201808,PRODUCT_X,15598
201809,PRODUCT_A,17602
201809,PRODUCT_B,136144
201809,PRODUCT_C,54459
201809,PRODUCT_V,8223
201809,PRODUCT_X,18808
201810,PRODUCT_A,16235
201810,PRODUCT_B,98061
201810,PRODUCT_C,62924
201810,PRODUCT_V,5523
201810,PRODUCT_X,20233
201811,PRODUCT_A,14227
201811,PRODUCT_B,136443
201811,PRODUCT_C,55988
201811,PRODUCT_V,4911
201811,PRODUCT_X,17608
201812,PRODUCT_A,18729
201812,PRODUCT_B,93656
201812,PRODUCT_C,59641
201812,PRODUCT_V,3782
201812,PRODUCT_X,20219
201901,PRODUCT_A,12545
201901,PRODUCT_B,100780
201901,PRODUCT_C,54832
201901,PRODUCT_V,8663
201901,PRODUCT_X,26717
201902,PRODUCT_A,26517
201902,PRODUCT_B,101607
201902,PRODUCT_C,56455
201902,PRODUCT_V,16596
201902,PRODUCT_X,27033
201903,PRODUCT_A,26722
201903,PRODUCT_B,124715
201903,PRODUCT_C,46686
201903,PRODUCT_V,17475
201903,PRODUCT_X,27268
201904,PRODUCT_A,17097
201904,PRODUCT_B,81397
201904,PRODUCT_C,43463
201904,PRODUCT_V,5883
201904,PRODUCT_X,23944
201905,PRODUCT_A,24023
201905,PRODUCT_B,97437
201905,PRODUCT_C,47654
201905,PRODUCT_V,7562
201905,PRODUCT_X,23790
201906,PRODUCT_A,16170
201906,PRODUCT_B,70122
201906,PRODUCT_C,40868
201906,PRODUCT_V,6370
201906,PRODUCT_X,17647
201907,PRODUCT_A,22815
201907,PRODUCT_B,75025
201907,PRODUCT_C,47800
201907,PRODUCT_V,2716
201907,PRODUCT_X,21151
201908,PRODUCT_A,19614
201908,PRODUCT_B,63026
201908,PRODUCT_C,49944
201908,PRODUCT_V,2102
201908,PRODUCT_X,9390
201909,PRODUCT_A,14322
201909,PRODUCT_B,76752
201909,PRODUCT_C,59116
201909,PRODUCT_V,12211
201909,PRODUCT_X,985
201910,PRODUCT_A,25781
201910,PRODUCT_B,60157
201910,PRODUCT_C,52651
201910,PRODUCT_V,9364
201910,PRODUCT_X,24762
201911,PRODUCT_A,18540
201911,PRODUCT_B,64761
201911,PRODUCT_C,57790
201911,PRODUCT_V,8071
201911,PRODUCT_X,20978
201912,PRODUCT_A,19367
201912,PRODUCT_B,49862
201912,PRODUCT_C,55986
201912,PRODUCT_V,5048
201912,PRODUCT_X,24368
202001,PRODUCT_A,0
202001,PRODUCT_B,0
202001,PRODUCT_C,0
202001,PRODUCT_V,0
202001,PRODUCT_X,0
202002,PRODUCT_A,0
202002,PRODUCT_B,0
202002,PRODUCT_C,0
202002,PRODUCT_V,0
202002,PRODUCT_X,0
202003,PRODUCT_A,0
202003,PRODUCT_B,0
202003,PRODUCT_C,0
202003,PRODUCT_V,0
202003,PRODUCT_X,0
202004,PRODUCT_A,0
202004,PRODUCT_B,0
202004,PRODUCT_C,0
202004,PRODUCT_V,0
202004,PRODUCT_X,0
