Period,Province,Product,Quantity,Month,Year
201701,ADANA,PRODUCT_A,346,1,2017
201701,ADANA,PRODUCT_B,4838,1,2017
201701,ADANA,PRODUCT_C,1004,1,2017
201701,ADANA,PRODUCT_V,20,1,2017
201701,ADANA,PRODUCT_X,910,1,2017
201701,ADIYAMAN,PRODUCT_A,36,1,2017
201701,ADIYAMAN,PRODUCT_B,45,1,2017
201701,ADIYAMAN,PRODUCT_C,206,1,2017
201701,ADIYAMAN,PRODUCT_V,0,1,2017
201701,ADIYAMAN,PRODUCT_X,44,1,2017
201701,AFYON,PRODUCT_A,66,1,2017
201701,AFYON,PRODUCT_B,1714,1,2017
201701,AFYON,PRODUCT_C,456,1,2017
201701,AFYON,PRODUCT_V,3,1,2017
201701,AFYON,PRODUCT_X,236,1,2017
201701,AKSARAY,PRODUCT_A,36,1,2017
201701,AKSARAY,PRODUCT_B,1105,1,2017
201701,AKSARAY,PRODUCT_C,185,1,2017
201701,AKSARAY,PRODUCT_V,0,1,2017
201701,AKSARAY,PRODUCT_X,70,1,2017
201701,AMASYA,PRODUCT_A,34,1,2017
201701,AMASYA,PRODUCT_B,535,1,2017
201701,AMASYA,PRODUCT_C,191,1,2017
201701,AMASYA,PRODUCT_V,0,1,2017
201701,AMASYA,PRODUCT_X,214,1,2017
201701,ANKARA,PRODUCT_A,1580,1,2017
201701,ANKARA,PRODUCT_B,6348,1,2017
201701,ANKARA,PRODUCT_C,3460,1,2017
201701,ANKARA,PRODUCT_V,901,1,2017
201701,ANKARA,PRODUCT_X,1288,1,2017
201701,ANTALYA,PRODUCT_A,552,1,2017
201701,ANTALYA,PRODUCT_B,5742,1,2017
201701,ANTALYA,PRODUCT_C,1546,1,2017
201701,ANTALYA,PRODUCT_V,-14,1,2017
201701,ANTALYA,PRODUCT_X,475,1,2017
201701,ARDAHAN,PRODUCT_A,0,1,2017
201701,ARDAHAN,PRODUCT_B,21,1,2017
201701,ARDAHAN,PRODUCT_C,29,1,2017
201701,ARDAHAN,PRODUCT_V,0,1,2017
201701,ARDAHAN,PRODUCT_X,12,1,2017
201701,ARTVİN,PRODUCT_A,13,1,2017
201701,ARTVİN,PRODUCT_B,14,1,2017
201701,ARTVİN,PRODUCT_C,62,1,2017
201701,ARTVİN,PRODUCT_V,0,1,2017
201701,ARTVİN,PRODUCT_X,27,1,2017
201701,AYDIN,PRODUCT_A,198,1,2017
201701,AYDIN,PRODUCT_B,3364,1,2017
201701,AYDIN,PRODUCT_C,532,1,2017
201701,AYDIN,PRODUCT_V,26,1,2017
201701,AYDIN,PRODUCT_X,613,1,2017
201701,AĞRI,PRODUCT_A,7,1,2017
201701,AĞRI,PRODUCT_B,1207,1,2017
201701,AĞRI,PRODUCT_C,430,1,2017
201701,AĞRI,PRODUCT_V,0,1,2017
201701,AĞRI,PRODUCT_X,126,1,2017
201701,BALIKESİR,PRODUCT_A,166,1,2017
201701,BALIKESİR,PRODUCT_B,6820,1,2017
201701,BALIKESİR,PRODUCT_C,658,1,2017
201701,BALIKESİR,PRODUCT_V,83,1,2017
201701,BALIKESİR,PRODUCT_X,311,1,2017
201701,BARTIN,PRODUCT_A,27,1,2017
201701,BARTIN,PRODUCT_B,714,1,2017
201701,BARTIN,PRODUCT_C,127,1,2017
201701,BARTIN,PRODUCT_V,4,1,2017
201701,BARTIN,PRODUCT_X,148,1,2017
201701,BATMAN,PRODUCT_A,47,1,2017
201701,BATMAN,PRODUCT_B,200,1,2017
201701,BATMAN,PRODUCT_C,275,1,2017
201701,BATMAN,PRODUCT_V,3,1,2017
201701,BATMAN,PRODUCT_X,89,1,2017
201701,BAYBURT,PRODUCT_A,4,1,2017
201701,BAYBURT,PRODUCT_B,87,1,2017
201701,BAYBURT,PRODUCT_C,26,1,2017
201701,BAYBURT,PRODUCT_V,0,1,2017
