Province,GDP by City,life_expectancy,population,pop_growth,pop_density,year,pop_infants_and_toddlers,80+_male,65+_male,50+_male
ADANA,0.060656357812834016,0.304347826086957,0.14266178192847062,0.7786357786357786,0.05137105171815342,2017,0.16089984265216783,0.14096483596666012,0.1527913874115313,0.1463825826730638
ADIYAMAN,0.010154460318923933,0.7826086956521756,0.03618436550120283,0.7837837837837838,0.026379729260673376,2017,0.05014791388624912,0.04354109954255886,0.03504265483519673,0.029209106484897853
AFYON,0.017826594393217543,0.2173913043478244,0.04292790673620078,0.7458172458172458,0.013536966331135021,2017,0.041809690480023406,0.08034686947492493,0.06500470305294699,0.05216618619983505
AGRI,0.005103466409244712,0.15217391304347672,0.03052180615196741,0.6640926640926641,0.01249566122874002,2017,0.05565768451153798,0.014031936687901663,0.0136137560479515,0.015019801702103756
AMASYA,0.007263036608259223,0.5217391304347814,0.017032121157522798,0.805019305019305,0.016313779937521693,2017,0.013024038386639455,0.048550500940139754,0.03667508342190204,0.02599117030485174
ANKARA,0.28411083936221404,0.7173913043478279,0.3617983443940622,0.8532818532818532,0.07323845886844846,2017,0.330804343423328,0.4284090590183257,0.40945368202124344,0.38968179392441393
ANTALYA,0.0967159207442239,0.695652173913043,0.15642386448188075,0.833976833976834,0.03575147518222839,2017,0.14724052753933264,0.18917857042629024,0.18088967357975438,0.1701873948313855
ARTVIN,0.0038804133721087536,0.695652173913043,0.006121671354547244,0.6615186615186615,0.004165220409580008,2017,0.004138819216168918,0.028049841439115424,0.016409399122242277,0.0116352554560009
AYDIN,0.028621742882403482,0.5217391304347814,0.06776386428168657,0.8108108108108107,0.0440819160013884,2017,0.05597791937351675,0.14266270030589623,0.12187999903974789,0.0974873159309864
BALIKESIR,0.03757771903028773,0.304347826086957,0.07636080331254651,0.7818532818532818,0.025338424158278375,2017,0.05353115192807352,0.18442174388909158,0.16203817875093024,0.12066015887323081
BILECIK,0.007709399340798796,0.36956521739130466,0.009420738115972493,0.8346203346203346,0.014231169732731691,2017,0.007870853607662095,0.022465130637330563,0.014336127521480184,0.012679600544387219
BINGOL,0.003450546679993894,0.586956521739129,0.013274943361727543,0.8256113256113256,0.007636237417563346,2017,0.018642861964926493,0.01459321415541773,0.00941483545861859,0.008418595981441807
BITLIS,0.0033748756478689784,0.5,0.017825423994608104,0.74002574002574,0.01318986463033669,2017,0.03054261633613236,0.0084331939494289,0.007324104728586923,0.008720536829123184
BOLU,0.01045050526816749,0.6739130434782616,0.015317257740007808,0.8056628056628057,0.008677542519958349,2017,0.0113025596285968,0.041730979709819545,0.029567035418026112,0.021305022814727053
BURDUR,0.006365688435742447,0.6739130434782616,0.012522279944879868,0.8178893178893178,0.00971884762235335,2017,0.0087493357290363,0.042713215277972665,0.027458845558724868,0.020042999440802997
BURSA,0.13275442650603064,0.3478260869565233,0.19433830815891415,0.8133848133848134,0.09406456091634849,2017,0.18448643848634502,0.24345410153509386,0.23876232232607977,0.21738208986474583
CANAKKALE,0.019325460879334844,0.41304347826087096,0.030588871205068917,0.8655083655083655,0.014578271433530023,2017,0.020167872307647036,0.07888754805938317,0.06558521910116037,0.04876312772417033
CANKIRI,0.0031374566896111723,0.41304347826087096,0.008947879443059768,0.8120978120978121,0.004859423811176674,2017,0.005594589588731887,0.026702775517076865,0.01992523127890304,0.013320506698873691
CORUM,0.011402184563521586,0.5434782608695627,0.030310000700679657,0.7425997425997426,0.010413051023950017,2017,0.025300285095577125,0.08146942440995707,0.06475372806969684,0.04497961101337221
DENIZLI,0.03631635129400127,0.4565217391304337,0.06309506888348365,0.8185328185328185,0.026379729260673376,2017,0.055371204135011017,0.10995425588639744,0.09216892580524777,0.07790201540728182
DIYARBAKIR,0.02833178637710217,0.608695652173914,0.11011494482981826,0.8378378378378378,0.03540437348143006,2017,0.17527146395799906,0.07422894507899981,0.06436089766113139,0.06146890073104156
EDIRNE,0.011224136606697736,0.2826086956521756,0.021971579098392105,0.8172458172458172,0.019437695244706697,2017,0.013649794616938521,0.05475261695619229,0.04560542804328991,0.03716617343278018
ELAZIG,0.012351029523433624,0.5434782608695627,0.03425749643821173,0.7895752895752896,0.020131898646303367,2017,0.03382891841973616,0.05841495243173462,0.043357565149832064,0.03616906644741377
ERZINCAN,0.005853751774265365,0.6739130434782616,0.01026061946755019,0.88996138996139,0.0031239153071850054,2017,0.009527419893682026,0.02461201695057952,0.016784770401538147,0.012363615936348573
ERZURUM,0.015900167364905956,0.2608695652173907,0.0457493101641926,0.7226512226512226,0.006594932315168344,2017,0.05554343856077798,0.06564139982600399,0.052228985209935117,0.04075818432052457
ESKISEHIR,0.03406780048156018,0.41304347826087096,0.05264526590793069,0.8545688545688546,0.017702186740715033,2017,0.04086889238550738,0.08949569219543682,0.08124824044712829,0.06842183881337885
GAZIANTEP,0.05728566081495275,0.17391304347826164,0.129878582224758,0.8365508365508365,0.09822978132592851,2017,0.19786879371854993,0.08225521286447957,0.09131997564451466,0.08798160522734294
GIRESUN,0.007707159105655946,0.7826086956521756,0.024799922591580502,0.6325611325611326,0.018396390142311696,2017,0.016002222603042057,0.08532820699913002,0.05412766551800145,0.04092479438658131
GUMUSHANE,0.0019143255955015954,0.804347826086957,0.005370142371433623,0.6653796653796653,0.005206525511975009,2017,0.005032014831201607,0.015491258103443437,0.00845240095763324,0.0076002277642588855
HAKKARI,0.0035362237488369983,0.2173913043478244,0.013626284162304101,0.9234234234234233,0.009371745921555015,2017,0.019517882087792822,0.0,0.0001156667314109374,0.002503619460055715
HATAY,0.040898463901551683,0.3913043478260896,0.10193767954916269,0.8178893178893178,0.08989934050676848,2017,0.12718170818468377,0.13340162209188114,0.1006300563275158,0.09625465678326392
ISPARTA,0.01130433667789194,0.5652173913043477,0.0239657801400692,0.8326898326898327,0.014231169732731691,2017,0.018609972979101646,0.056043555131479246,0.04193246372320296,0.03241555231556074
ICEL,0.05560548879431259,0.4565217391304337,0.11559172397225309,0.8082368082368082,0.03644567858382506,2017,0.1185656593982008,0.15364970673252323,0.14338746390870621,0.13014927240554294
ISTANBUL,0.9999999999999999,0.5652173913043477,1.0,0.8326898326898327,0.9999999999999999,2017,0.9999999999999999,0.9294614542699183,0.9139919644357537,0.9353303986129871
IZMIR,0.20057561137751648,0.5434782608695627,0.28282400595244056,0.8204633204633204,0.1197500867754252,2017,0.23452789591847686,0.44256728313641847,0.4242939419003826,0.3599243424328389
KARS,0.0037563045186547158,0.2608695652173907,0.013786973364163237,0.6879021879021878,0.005900728913571676,2017,0.019226208713504046,0.01965874329975023,0.013899649289740796,0.011535672428012962
KASTAMONU,0.008794212610356645,0.2826086956521756,0.020092756640608056,0.657014157014157,0.005900728913571676,2017,0.012934026425434609,0.0658238150029467,0.052392664546837386,0.034705323606539794
KAYSERI,0.04334321525368147,0.3913043478260896,0.08724502767684655,0.8191763191763192,0.024297119055883373,2017,0.0927287645339025,0.10344343726321108,0.09947120662224773,0.08875975722168458
KIRKLARELI,0.012479480946519971,0.3478260869565233,0.018590432719738148,0.8146718146718146,0.01596667823672336,2017,0.011974187339125256,0.04589846490612634,0.03624951714595614,0.03007918127430528
KIRSEHIR,0.004394535628847153,0.5217391304347814,0.010649930432519545,0.8616473616473617,0.009024644220756682,2017,0.009298062492535066,0.019855190413380852,0.015931455458487648,0.014376342136643235
KOCAELI,0.12829254158574602,0.43478260869565233,0.12172587409787496,0.9176319176319176,0.17702186740715029,2017,0.13056321522725425,0.11440237981646227,0.11936806681608772,0.11666215564061251
