Period,Asec
201701,23.0
201702,26.0
201703,26.75
201704,29.8
201705,36.75
201706,29.75
201707,28.0
201708,29.75
201709,34.5
201710,35.6
201711,30.75
201712,29.2
201801,28.5
201802,34.5
201803,48.0
201804,36.2
201805,40.0
201806,18.5
201807,38.6
201808,31.0
201809,35.4
201810,36.0
201811,28.0
201812,32.0
201901,26.25
201902,33.25
201903,30.6
201904,22.0
201905,32.0
201906,29.2
201907,35.0
201908,17.25
201909,26.0
201910,22.5
201911,34.75
201912,37.8
202001,33.25
202002,48.25
202003,27.2
202004,21.25
