Period,BioGaia
201701,50.0
201702,53.75
201703,54.75
201704,53.2
201705,47.25
201706,48.5
201707,54.8
201708,47.5
201709,61.25
201710,58.6
201711,57.5
201712,55.6
201801,58.0
201802,64.5
201803,60.75
201804,55.8
201805,65.0
201806,66.0
201807,60.4
201808,65.0
201809,65.2
201810,72.25
201811,66.25
201812,67.4
201901,78.5
201902,72.5
201903,74.0
201904,69.75
201905,63.25
201906,57.4
201907,82.25
201908,82.75
201909,76.4
201910,81.75
201911,81.5
201912,82.0
202001,68.25
202002,81.0
202003,76.0
202004,76.25
