Period,Biofenac
201701,41.6
201702,53.0
201703,55.75
201704,46.2
201705,46.5
201706,55.75
201707,49.0
201708,54.75
201709,68.5
201710,54.8
201711,44.75
201712,64.8
201801,54.25
201802,80.0
201803,62.0
201804,59.8
201805,42.0
201806,65.25
201807,53.0
201808,49.5
201809,53.0
201810,55.75
201811,53.5
201812,62.2
201901,53.25
201902,57.75
201903,53.8
201904,57.0
201905,75.25
201906,53.6
201907,45.5
201908,41.75
201909,43.4
201910,37.5
201911,52.25
201912,40.0
202001,41.5
202002,33.0
202003,37.0
202004,40.75
