Period,Salofalk
201701,14.6
201702,15.5
201703,15.0
201704,15.0
201705,26.0
201706,12.75
201707,20.6
201708,16.75
201709,20.25
201710,23.2
201711,15.75
201712,16.2
201801,21.75
201802,19.0
201803,26.75
201804,18.6
201805,26.75
201806,34.5
201807,44.6
201808,27.0
201809,24.4
201810,24.75
201811,38.25
201812,33.6
201901,43.75
201902,35.5
201903,22.2
201904,27.5
201905,37.5
201906,30.2
201907,43.25
201908,25.0
201909,34.8
201910,20.25
201911,26.25
201912,23.2
202001,21.75
202002,22.0
202003,21.2
202004,15.25
