Period,Xatral
201701,28.8
201702,37.0
201703,28.25
201704,22.8
201705,45.25
201706,39.25
201707,38.4
201708,33.5
201709,30.75
201710,39.6
201711,35.25
201712,37.6
201801,36.25
201802,32.0
201803,51.5
201804,39.8
201805,37.0
201806,42.5
201807,40.8
201808,28.75
201809,39.8
201810,38.25
201811,41.25
201812,51.4
201901,50.75
201902,60.0
201903,52.0
201904,52.5
201905,56.5
201906,57.8
201907,54.0
201908,59.0
201909,42.0
201910,50.25
201911,60.5
201912,55.6
202001,55.0
202002,48.25
202003,42.2
202004,39.75
