Period,gastroenteroloji randevu
201701,41.6
201702,45.75
201703,49.25
201704,46.4
201705,47.0
201706,36.75
201707,49.2
201708,51.0
201709,51.75
201710,49.6
201711,35.25
201712,57.8
201801,56.5
201802,75.5
201803,51.0
201804,41.2
201805,47.5
201806,38.5
201807,48.8
201808,53.0
201809,63.8
201810,48.0
201811,74.25
201812,52.8
201901,49.25
201902,70.0
201903,60.8
201904,54.5
201905,45.25
201906,45.6
201907,60.25
201908,49.75
201909,46.4
201910,61.0
201911,61.5
201912,56.6
202001,55.0
202002,64.5
202003,29.6
202004,18.0
