Period,grip
201701,43.8
201702,33.0
201703,33.75
201704,24.6
201705,16.75
201706,12.5
201707,11.6
201708,17.0
201709,35.5
201710,63.8
201711,37.5
201712,40.4
201801,44.75
201802,38.25
201803,33.25
201804,26.8
201805,18.5
201806,15.0
201807,18.0
201808,27.0
201809,44.4
201810,54.75
201811,39.5
201812,50.0
201901,65.0
201902,38.75
201903,33.0
201904,29.0
201905,20.5
201906,16.4
201907,16.25
201908,19.5
201909,42.2
201910,56.75
201911,48.25
201912,53.0
202001,68.25
202002,43.25
202003,65.8
202004,21.25
