Period,hastane
201701,66.4
201702,70.0
201703,68.0
201704,65.4
201705,59.75
201706,56.0
201707,74.2
201708,64.0
201709,75.0
201710,71.0
201711,71.0
201712,71.2
201801,75.5
201802,81.75
201803,75.5
201804,71.6
201805,59.75
201806,64.25
201807,75.0
201808,63.25
201809,73.4
201810,72.0
201811,69.5
201812,71.0
201901,78.25
201902,78.25
201903,72.6
201904,69.5
201905,58.5
201906,69.4
201907,74.25
201908,77.25
201909,75.8
201910,77.75
201911,76.25
201912,76.2
202001,87.0
202002,78.5
202003,64.4
202004,44.75
