Period,ilaç
201701,43.8
201702,45.75
201703,46.5
201704,45.2
201705,46.75
201706,44.25
201707,45.4
201708,44.25
201709,46.25
201710,50.4
201711,48.0
201712,49.2
201801,49.75
201802,51.5
201803,54.75
201804,53.0
201805,52.25
201806,49.75
201807,55.2
201808,50.25
201809,53.6
201810,56.0
201811,53.25
201812,56.6
201901,60.0
201902,61.25
201903,60.4
201904,65.5
201905,68.0
201906,63.8
201907,63.5
201908,59.75
201909,64.0
201910,67.25
201911,67.0
201912,67.4
202001,70.25
202002,66.75
202003,82.0
202004,73.75
