geoName,grip,Period
Adana,0.6451612903225806,201701
Adıyaman Province,0.4608294930875576,201701
Afyonkarahisar Province,0.5299539170506913,201701
Aksaray,1.0138248847926268,201701
Amasya Province,0.7603686635944701,201701
Ankara,0.6682027649769585,201701
Antalya,0.7603686635944701,201701
Ardahan Province,2.2350230414746544,201701
Artvin,1.175115207373272,201701
Aydın Province,0.8064516129032259,201701
Ağrı,0.8525345622119817,201701
Balıkesir Province,0.5299539170506913,201701
Bartın Province,0.6451612903225806,201701
Batman,0.6221198156682027,201701
Bayburt,1.6820276497695854,201701
Bilecik,0.9907834101382489,201701
Bingöl Province,0.783410138248848,201701
Bitlis,0.7373271889400922,201701
Bolu,0.6221198156682027,201701
Burdur Province,1.1059907834101383,201701
Bursa,0.6451612903225806,201701
Denizli,0.391705069124424,201701
Diyarbakır,0.4147465437788019,201701
Düzce Province,0.6912442396313364,201701
Edirne,0.6912442396313364,201701
Elazığ,0.5760368663594471,201701
Erzincan,0.4147465437788019,201701
Erzurum,0.3225806451612903,201701
Eskişehir Province,1.0599078341013826,201701
Gaziantep,0.599078341013825,201701
Giresun,1.1290322580645162,201701
Gümüşhane,2.3041474654377883,201701
Hakkâri,1.0599078341013826,201701
Hatay,1.0138248847926268,201701
Isparta Province,1.0829493087557605,201701
Iğdır,2.165898617511521,201701
Kahramanmaraş Province,0.7603686635944701,201701
Karabük,0.783410138248848,201701
Karaman,0.6682027649769585,201701
Kars,0.967741935483871,201701
Kastamonu,0.5529953917050692,201701
Kayseri Province,0.5069124423963134,201701
Kilis,0.0,201701
Kocaeli,0.9447004608294931,201701
Konya,0.4838709677419355,201701
Kütahya,0.8986175115207373,201701
Kırklareli,0.6221198156682027,201701
Kırıkkale,0.6912442396313364,201701
Kırşehir,0.967741935483871,201701
Malatya,0.5529953917050692,201701
Manisa,0.7142857142857143,201701
Mardin,0.3225806451612903,201701
Mersin Province,0.6451612903225806,201701
Muğla Province,0.8525345622119817,201701
Muş,0.8294930875576038,201701
Nevşehir,0.7142857142857143,201701
Niğde,0.599078341013825,201701
Ordu,0.6451612903225806,201701
Osmaniye,1.4516129032258065,201701
Rize,0.4838709677419355,201701
Sakarya,0.6221198156682027,201701
Samsun,0.7603686635944701,201701
Siirt Province,0.6682027649769585,201701
Sinop Province,0.8294930875576038,201701
Sivas,0.2764976958525346,201701
Tekirdağ,0.6451612903225806,201701
Tokat,0.5529953917050692,201701
Trabzon,0.5760368663594471,201701
Tunceli,0.0,201701
Uşak,0.8064516129032259,201701
Van,0.7603686635944701,201701
Yalova Province,0.8986175115207373,201701
Yozgat,0.599078341013825,201701
Zonguldak,0.5529953917050692,201701
Çanakkale Province,0.5069124423963134,201701
Çankırı,1.19815668202765,201701
Çorum Province,0.20737327188940094,201701
İstanbul,0.6912442396313364,201701
İzmir,0.7603686635944701,201701
Şanlıurfa Province,0.5299539170506913,201701
Şırnak,0.4608294930875576,201701
Adana,0.35036496350364965,201702
Adıyaman Province,0.35036496350364965,201702
Afyonkarahisar Province,0.23357664233576642,201702
Aksaray,0.40875912408759124,201702
Amasya Province,0.5255474452554745,201702
Ankara,0.35036496350364965,201702
Antalya,0.32116788321167883,201702
Ardahan Province,0.0,201702
Artvin,0.7591240875912408,201702
Aydın Province,0.26277372262773724,201702
Ağrı,0.5547445255474452,201702
Balıkesir Province,0.3795620437956204,201702
Bartın Province,0.5255474452554745,201702
Batman,0.17518248175182483,201702
Bayburt,0.0,201702
Bilecik,0.3795620437956204,201702
Bingöl Province,0.9927007299270073,201702
Bitlis,0.583941605839416,201702
Bolu,0.40875912408759124,201702
Burdur Province,0.7007299270072993,201702
Bursa,0.35036496350364965,201702
Denizli,0.32116788321167883,201702
Diyarbakır,0.145985401459854,201702
Düzce Province,0.46715328467153283,201702
Edirne,0.20437956204379562,201702
Elazığ,0.35036496350364965,201702
Erzincan,0.291970802919708,201702
Erzurum,0.3795620437956204,201702
Eskişehir Province,0.35036496350364965,201702
Gaziantep,0.35036496350364965,201702
Giresun,0.46715328467153283,201702
Gümüşhane,2.9197080291970803,201702
Hakkâri,0.0,201702
Hatay,0.26277372262773724,201702
Isparta Province,0.40875912408759124,201702
Iğdır,0.0,201702
Kahramanmaraş Province,0.5255474452554745,201702
Karabük,0.40875912408759124,201702
Karaman,0.7883211678832117,201702
Kars,0.3795620437956204,201702
Kastamonu,0.26277372262773724,201702
Kayseri Province,0.32116788321167883,201702
Kilis,0.6715328467153284,201702
Kocaeli,0.23357664233576642,201702
Konya,0.46715328467153283,201702
Kütahya,0.32116788321167883,201702
Kırklareli,0.5547445255474452,201702
Kırıkkale,0.32116788321167883,201702
Kırşehir,0.6715328467153284,201702
Malatya,0.26277372262773724,201702
Manisa,0.40875912408759124,201702
Mardin,0.23357664233576642,201702
Mersin Province,0.43795620437956206,201702
Muğla Province,0.3795620437956204,201702
Muş,0.6423357664233577,201702
Nevşehir,0.291970802919708,201702
Niğde,0.7299270072992701,201702
Ordu,0.23357664233576642,201702
Osmaniye,0.43795620437956206,201702
Rize,0.6715328467153284,201702
Sakarya,0.32116788321167883,201702
Samsun,0.32116788321167883,201702
Siirt Province,0.5255474452554745,201702
Sinop Province,0.3795620437956204,201702
Sivas,0.5255474452554745,201702
Tekirdağ,0.32116788321167883,201702
Tokat,0.40875912408759124,201702
Trabzon,0.23357664233576642,201702
Tunceli,1.489051094890511,201702
Uşak,0.17518248175182483,201702
Van,0.17518248175182483,201702
Yalova Province,0.49635036496350365,201702
Yozgat,0.46715328467153283,201702
Zonguldak,0.26277372262773724,201702
Çanakkale Province,0.291970802919708,201702
Çankırı,0.46715328467153283,201702
Çorum Province,0.32116788321167883,201702
İstanbul,0.35036496350364965,201702
İzmir,0.32116788321167883,201702
Şanlıurfa Province,0.17518248175182483,201702
Şırnak,0.43795620437956206,201702
Adana,0.5373134328358209,201703
Adıyaman Province,0.7164179104477612,201703
Afyonkarahisar Province,1.0746268656716418,201703
