geoName,mhrs,Period
Adana,0.4,201701
Adıyaman Province,0.7166666666666667,201701
Afyonkarahisar Province,0.5,201701
Aksaray,0.4166666666666667,201701
Amasya Province,0.9166666666666666,201701
Ankara,0.6166666666666667,201701
Antalya,0.6833333333333333,201701
Ardahan Province,0.5166666666666667,201701
Artvin,1.0,201701
Aydın Province,0.6833333333333333,201701
Ağrı,0.2833333333333333,201701
Balıkesir Province,0.9166666666666666,201701
Bartın Province,0.5166666666666667,201701
Batman,0.36666666666666664,201701
Bayburt,0.8333333333333334,201701
Bilecik,0.9,201701
Bingöl Province,0.7833333333333333,201701
Bitlis,0.18333333333333332,201701
Bolu,0.7166666666666667,201701
Burdur Province,0.36666666666666664,201701
Bursa,0.9833333333333333,201701
Denizli,0.7333333333333333,201701
Diyarbakır,0.23333333333333334,201701
Düzce Province,0.8,201701
Edirne,0.85,201701
Elazığ,0.3333333333333333,201701
Erzincan,0.7666666666666667,201701
Erzurum,0.3333333333333333,201701
Eskişehir Province,0.8333333333333334,201701
Gaziantep,0.31666666666666665,201701
Giresun,0.8833333333333333,201701
Gümüşhane,0.75,201701
Hakkâri,0.5166666666666667,201701
Hatay,0.4,201701
Isparta Province,0.4166666666666667,201701
Iğdır,0.5333333333333333,201701
Kahramanmaraş Province,0.35,201701
Karabük,1.05,201701
Karaman,0.9,201701
Kars,0.35,201701
Kastamonu,0.8166666666666667,201701
Kayseri Province,0.2833333333333333,201701
Kilis,0.31666666666666665,201701
Kocaeli,0.9833333333333333,201701
Konya,0.7833333333333333,201701
Kütahya,1.6666666666666667,201701
Kırklareli,0.5833333333333334,201701
Kırıkkale,0.3333333333333333,201701
Kırşehir,0.75,201701
Malatya,0.2833333333333333,201701
Manisa,0.5666666666666667,201701
Mardin,0.31666666666666665,201701
Mersin Province,0.4666666666666667,201701
Muğla Province,0.8,201701
Muş,0.3333333333333333,201701
Nevşehir,0.5666666666666667,201701
Niğde,0.55,201701
Ordu,0.75,201701
Osmaniye,0.4,201701
Rize,1.15,201701
Sakarya,1.3,201701
Samsun,0.9833333333333333,201701
Siirt Province,0.38333333333333336,201701
Sinop Province,0.9166666666666666,201701
Sivas,0.48333333333333334,201701
Tekirdağ,0.6333333333333333,201701
Tokat,0.75,201701
Trabzon,0.55,201701
Tunceli,0.45,201701
Uşak,0.5333333333333333,201701
Van,0.43333333333333335,201701
Yalova Province,0.8833333333333333,201701
Yozgat,0.5333333333333333,201701
Zonguldak,0.7333333333333333,201701
Çanakkale Province,0.5666666666666667,201701
Çankırı,0.7333333333333333,201701
Çorum Province,1.1666666666666667,201701
İstanbul,1.0166666666666666,201701
İzmir,0.8,201701
Şanlıurfa Province,0.21666666666666667,201701
Şırnak,0.18333333333333332,201701
Adana,0.390625,201702
Adıyaman Province,0.625,201702
Afyonkarahisar Province,0.5625,201702
Aksaray,0.28125,201702
Amasya Province,1.375,201702
Ankara,0.625,201702
Antalya,0.78125,201702
Ardahan Province,1.265625,201702
Artvin,0.75,201702
Aydın Province,0.75,201702
Ağrı,0.34375,201702
Balıkesir Province,1.078125,201702
Bartın Province,1.234375,201702
Batman,0.265625,201702
Bayburt,0.6875,201702
Bilecik,1.28125,201702
Bingöl Province,0.3125,201702
Bitlis,0.390625,201702
Bolu,0.78125,201702
Burdur Province,0.578125,201702
Bursa,0.953125,201702
Denizli,0.828125,201702
Diyarbakır,0.28125,201702
Düzce Province,0.671875,201702
Edirne,1.078125,201702
Elazığ,0.3125,201702
Erzincan,0.625,201702
Erzurum,0.296875,201702
Eskişehir Province,0.796875,201702
Gaziantep,0.34375,201702
Giresun,0.921875,201702
Gümüşhane,1.03125,201702
Hakkâri,0.640625,201702
Hatay,0.390625,201702
Isparta Province,0.515625,201702
Iğdır,0.5625,201702
Kahramanmaraş Province,0.375,201702
Karabük,1.140625,201702
Karaman,1.265625,201702
Kars,0.265625,201702
Kastamonu,0.734375,201702
Kayseri Province,0.296875,201702
Kilis,0.5625,201702
Kocaeli,1.0,201702
Konya,0.90625,201702
Kütahya,1.5625,201702
Kırklareli,0.875,201702
Kırıkkale,0.34375,201702
Kırşehir,0.53125,201702
Malatya,0.25,201702
Manisa,0.625,201702
Mardin,0.4375,201702
Mersin Province,0.40625,201702
Muğla Province,0.828125,201702
Muş,0.65625,201702
Nevşehir,0.40625,201702
Niğde,0.515625,201702
Ordu,0.9375,201702
Osmaniye,0.40625,201702
Rize,1.0625,201702
Sakarya,1.1875,201702
Samsun,1.0,201702
Siirt Province,0.46875,201702
Sinop Province,0.734375,201702
Sivas,0.640625,201702
Tekirdağ,0.59375,201702
Tokat,0.65625,201702
Trabzon,0.75,201702
Tunceli,0.875,201702
Uşak,0.5625,201702
Van,0.453125,201702
Yalova Province,0.390625,201702
Yozgat,0.453125,201702
Zonguldak,0.71875,201702
Çanakkale Province,0.8125,201702
Çankırı,1.078125,201702
Çorum Province,0.9375,201702
İstanbul,1.03125,201702
İzmir,0.828125,201702
Şanlıurfa Province,0.203125,201702
Şırnak,0.15625,201702
Adana,0.31746031746031744,201703
Adıyaman Province,0.7142857142857143,201703
Afyonkarahisar Province,0.47619047619047616,201703
Aksaray,0.42857142857142855,201703
Amasya Province,0.5714285714285714,201703
Ankara,0.5396825396825397,201703
Antalya,0.5873015873015873,201703
