geoName,salgın,Period
Adana,2.142857142857143,201701
Adıyaman Province,0.0,201701
Afyonkarahisar Province,6.428571428571429,201701
Aksaray,10.714285714285715,201701
Amasya Province,0.0,201701
Ankara,2.142857142857143,201701
Antalya,2.142857142857143,201701
Ardahan Province,0.0,201701
Artvin,0.0,201701
Aydın Province,3.5714285714285716,201701
Ağrı,0.0,201701
Balıkesir Province,0.0,201701
Bartın Province,0.0,201701
Batman,0.0,201701
Bayburt,71.42857142857143,201701
Bilecik,0.0,201701
Bingöl Province,0.0,201701
Bitlis,0.0,201701
Bolu,0.0,201701
Burdur Province,0.0,201701
Bursa,1.4285714285714286,201701
Denizli,2.857142857142857,201701
Diyarbakır,2.142857142857143,201701
Düzce Province,0.0,201701
Edirne,0.0,201701
Elazığ,0.0,201701
Erzincan,0.0,201701
Erzurum,3.5714285714285716,201701
Eskişehir Province,0.0,201701
Gaziantep,3.5714285714285716,201701
Giresun,0.0,201701
Gümüşhane,0.0,201701
Hakkâri,0.0,201701
Hatay,2.857142857142857,201701
Isparta Province,6.428571428571429,201701
Iğdır,0.0,201701
Kahramanmaraş Province,4.285714285714286,201701
Karabük,0.0,201701
Karaman,0.0,201701
Kars,0.0,201701
Kastamonu,0.0,201701
Kayseri Province,2.142857142857143,201701
Kilis,0.0,201701
Kocaeli,4.285714285714286,201701
Konya,2.142857142857143,201701
Kütahya,0.0,201701
Kırklareli,10.0,201701
Kırıkkale,12.857142857142858,201701
Kırşehir,0.0,201701
Malatya,5.0,201701
Manisa,2.857142857142857,201701
Mardin,0.0,201701
Mersin Province,2.857142857142857,201701
Muğla Province,3.5714285714285716,201701
Muş,0.0,201701
Nevşehir,0.0,201701
Niğde,0.0,201701
Ordu,6.428571428571429,201701
Osmaniye,0.0,201701
Rize,10.0,201701
Sakarya,3.5714285714285716,201701
Samsun,3.5714285714285716,201701
Siirt Province,0.0,201701
Sinop Province,0.0,201701
Sivas,0.0,201701
Tekirdağ,0.0,201701
Tokat,7.857142857142858,201701
Trabzon,4.285714285714286,201701
Tunceli,0.0,201701
Uşak,9.285714285714286,201701
Van,0.0,201701
Yalova Province,0.0,201701
Yozgat,0.0,201701
Zonguldak,0.0,201701
Çanakkale Province,0.0,201701
Çankırı,0.0,201701
Çorum Province,0.0,201701
İstanbul,1.4285714285714286,201701
İzmir,1.4285714285714286,201701
Şanlıurfa Province,0.0,201701
Şırnak,0.0,201701
Adana,9.0,201702
Adıyaman Province,0.0,201702
Afyonkarahisar Province,0.0,201702
Aksaray,0.0,201702
Amasya Province,0.0,201702
Ankara,7.0,201702
Antalya,8.0,201702
Ardahan Province,0.0,201702
Artvin,0.0,201702
Aydın Province,0.0,201702
Ağrı,0.0,201702
Balıkesir Province,0.0,201702
Bartın Province,0.0,201702
Batman,0.0,201702
Bayburt,0.0,201702
Bilecik,0.0,201702
Bingöl Province,0.0,201702
Bitlis,0.0,201702
Bolu,0.0,201702
Burdur Province,0.0,201702
Bursa,9.0,201702
Denizli,0.0,201702
Diyarbakır,22.0,201702
Düzce Province,0.0,201702
Edirne,0.0,201702
Elazığ,36.0,201702
Erzincan,0.0,201702
Erzurum,23.0,201702
Eskişehir Province,0.0,201702
Gaziantep,7.0,201702
Giresun,0.0,201702
Gümüşhane,0.0,201702
Hakkâri,0.0,201702
Hatay,0.0,201702
Isparta Province,37.0,201702
Iğdır,0.0,201702
Kahramanmaraş Province,0.0,201702
Karabük,0.0,201702
Karaman,0.0,201702
Kars,0.0,201702
Kastamonu,62.0,201702
Kayseri Province,20.0,201702
Kilis,0.0,201702
Kocaeli,8.0,201702
Konya,26.0,201702
Kütahya,0.0,201702
Kırklareli,0.0,201702
Kırıkkale,0.0,201702
Kırşehir,0.0,201702
Malatya,25.0,201702
Manisa,16.0,201702
Mardin,0.0,201702
Mersin Province,10.0,201702
Muğla Province,0.0,201702
Muş,0.0,201702
Nevşehir,68.0,201702
Niğde,76.0,201702
Ordu,0.0,201702
Osmaniye,56.0,201702
Rize,56.0,201702
Sakarya,0.0,201702
Samsun,16.0,201702
Siirt Province,0.0,201702
Sinop Province,0.0,201702
Sivas,0.0,201702
Tekirdağ,0.0,201702
Tokat,45.0,201702
Trabzon,0.0,201702
Tunceli,0.0,201702
Uşak,0.0,201702
Van,45.0,201702
Yalova Province,0.0,201702
Yozgat,0.0,201702
Zonguldak,0.0,201702
Çanakkale Province,0.0,201702
Çankırı,0.0,201702
Çorum Province,0.0,201702
İstanbul,7.0,201702
İzmir,4.0,201702
Şanlıurfa Province,0.0,201702
Şırnak,100.0,201702
Adana,12.0,201703
Adıyaman Province,0.0,201703
Afyonkarahisar Province,0.0,201703
Aksaray,0.0,201703
Amasya Province,0.0,201703
Ankara,6.666666666666667,201703
Antalya,6.666666666666667,201703
Ardahan Province,0.0,201703
Artvin,0.0,201703
Aydın Province,0.0,201703
Ağrı,0.0,201703
Balıkesir Province,0.0,201703
Bartın Province,0.0,201703
Batman,133.33333333333334,201703
Bayburt,0.0,201703
Bilecik,0.0,201703
Bingöl Province,0.0,201703
Bitlis,0.0,201703
Bolu,76.0,201703
Burdur Province,0.0,201703
Bursa,9.333333333333334,201703
Denizli,22.666666666666668,201703
Diyarbakır,16.0,201703
Düzce Province,68.0,201703
Edirne,0.0,201703
Elazığ,0.0,201703
Erzincan,0.0,201703
Erzurum,0.0,201703
Eskişehir Province,40.0,201703
Gaziantep,8.0,201703
Giresun,0.0,201703
Gümüşhane,0.0,201703
Hakkâri,0.0,201703
Hatay,20.0,201703
Isparta Province,44.0,201703
Iğdır,0.0,201703
Kahramanmaraş Province,32.0,201703
Karabük,0.0,201703
Karaman,101.33333333333333,201703
Kars,0.0,201703
Kastamonu,0.0,201703
Kayseri Province,17.333333333333332,201703
Kilis,0.0,201703
Kocaeli,10.666666666666666,201703
Konya,16.0,201703
Kütahya,0.0,201703
Kırklareli,0.0,201703
Kırıkkale,89.33333333333333,201703
Kırşehir,0.0,201703
Malatya,0.0,201703
Manisa,40.0,201703
Mardin,62.666666666666664,201703
Mersin Province,13.333333333333334,201703
Muğla Province,24.0,201703
Muş,0.0,201703
Nevşehir,86.66666666666667,201703
Niğde,94.66666666666667,201703
Ordu,49.333333333333336,201703
Osmaniye,0.0,201703
Rize,0.0,201703
Sakarya,33.333333333333336,201703
Samsun,0.0,201703
Siirt Province,0.0,201703
Sinop Province,0.0,201703
Sivas,42.666666666666664,201703
Tekirdağ,0.0,201703
Tokat,56.0,201703
Trabzon,0.0,201703
Tunceli,0.0,201703
Uşak,68.0,201703
Van,58.666666666666664,201703
Yalova Province,0.0,201703
