Period,USD/TRY_Price,USD/TRY_Change %,USD/TRY_mov_Change%,EUR/TRY_Price,EUR/TRY_Change %,EUR/TRY_mov_Change%,EUR/USD_Price,EUR/USD_Change %,EUR/USD_mov_Change%,mw_USD
201701,3.7734,6.96%,1.042088854,4.0743,9.83%,1.07739847,1.0798,2.68%,1.033830044,372.0941326
201702,3.6472,-3.34%,0.903702319,3.8577,-5.32%,0.862059547,1.0577,-2.05%,0.953934554,384.9692915
201703,3.6352,-0.33%,1.031140079,3.8726,0.39%,1.060308407,1.0652,0.71%,1.028177642,386.2400968
201704,3.5516,-2.30%,0.980234775,3.8702,-0.06%,0.995517482,1.0897,2.30%,1.015787906,395.3316815
201705,3.527,-0.69%,1.016479017,3.9663,2.48%,1.025415249,1.1243,3.18%,1.008602151,398.0890275
201706,3.5212,-0.16%,1.005336824,4.0233,1.44%,0.989851678,1.1426,1.63%,0.984977709,398.7447461
201707,3.5193,-0.05%,1.001101763,4.1676,3.59%,1.021194795,1.1842,3.64%,1.019777625,398.9600205
201708,3.4527,-1.89%,0.981590795,4.1121,-1.33%,0.952505068,1.191,0.57%,0.970378232,406.6556608
201709,3.5637,3.21%,1.051982469,4.2101,2.38%,1.037600081,1.1814,-0.81%,0.986278214,393.989393
201710,3.792,6.41%,1.031004748,4.4162,4.90%,1.024614182,1.1646,-1.42%,0.993850187,370.2689873
201711,3.919,3.35%,0.971243304,4.6651,5.64%,1.007054337,1.1904,2.22%,1.036924325,358.2699668
201712,3.79,-3.29%,0.935752298,4.5473,-2.53%,0.922661871,1.1998,0.79%,0.986010565,370.4643799
201801,3.7555,-0.91%,1.024609658,4.6646,2.58%,1.052426388,1.2421,3.53%,1.027185237,426.8406337
201802,3.7988,1.15%,1.020789182,4.6322,-0.69%,0.968122441,1.2194,-1.83%,0.948227567,421.9753606
201803,3.9552,4.12%,1.029362333,4.8738,5.22%,1.059510623,1.2323,1.06%,1.029438729,405.2892395
201804,4.0617,2.69%,0.986265847,4.9059,0.66%,0.956662232,1.2079,-1.98%,0.96991886,394.6623335
201805,4.5245,11.39%,1.084721005,5.29,7.83%,1.071229883,1.1692,-3.20%,0.98755356,354.2932921
201806,4.5872,1.39%,0.910225334,5.3601,1.33%,0.93971993,1.1685,-0.06%,1.032438017,349.4506453
201807,4.9142,7.13%,1.056613078,5.7454,7.19%,1.05783085,1.1691,0.05%,1.00110066,326.19755
201808,6.538,33.04%,1.241855689,7.5861,32.04%,1.231831328,1.1601,-0.77%,0.991804098,245.1820128
201809,6.056,-7.37%,0.696256765,7.0304,-7.33%,0.701832778,1.1609,0.07%,1.008465182,264.6961691
201810,5.5835,-7.80%,0.995357875,6.3159,-10.16%,0.96946153,1.1312,-2.56%,0.973718397,287.0959076
201811,5.2128,-6.64%,1.012581345,5.8994,-6.59%,1.039737311,1.1317,0.04%,1.026683087,307.5122775
201812,5.2887,1.46%,1.086760925,6.0664,2.83%,1.100845734,1.147,1.35%,1.013094762,303.0990603
201901,5.1645,-2.35%,0.962448255,5.9118,-2.55%,0.947680638,1.1446,-0.21%,0.984607795,391.1317649
201902,5.3371,3.34%,1.058269329,6.0689,2.66%,1.053463315,1.1371,-0.66%,0.99549053,378.4826966
201903,5.5555,4.09%,1.007257596,6.2321,2.69%,1.000292227,1.1218,-1.35%,0.993054157,363.603636
201904,5.9656,7.38%,1.031607263,6.691,7.36%,1.045476677,1.1217,-0.01%,1.013583376,338.6080193
201905,5.8382,-2.14%,0.911342894,6.5309,-2.39%,0.909184054,1.1169,-0.43%,0.99579958,345.9970539
201906,5.7921,-0.79%,1.013795218,6.5856,0.84%,1.033090872,1.137,1.80%,1.022396304,348.7508848
201907,5.5864,-3.55%,0.972180224,6.1875,-6.05%,0.931673939,1.1076,-2.59%,0.956876228,361.5924388
201908,5.8306,4.37%,1.082115086,6.4084,3.57%,1.102394891,1.0991,-0.76%,1.018786572,346.4480499
201909,5.6489,-3.12%,0.928236083,6.1573,-3.92%,0.927681761,1.09,-0.83%,0.999294639,357.5917435
201910,5.713,1.13%,1.043868704,6.3711,3.47%,1.076915071,1.1152,2.31%,1.031662801,353.5795554
201911,5.747,0.60%,0.994759221,6.3315,-0.62%,0.960471634,1.1017,-1.21%,0.965594761,351.4877327
201912,5.9489,3.51%,1.028926441,6.6699,5.34%,1.059971825,1.1212,1.77%,1.030164996,339.5585739
202001,5.9822,0.56%,0.971500338,6.6367,-0.50%,0.944560471,1.1094,-1.05%,0.972290459,388.6028551
202002,6.2427,4.35%,1.037688942,6.8835,3.72%,1.04241206,1.1027,-0.61%,1.00444669,372.386948
202003,6.6143,5.95%,1.015333014,7.2962,6.00%,1.02198226,1.1031,0.04%,1.006539893,351.4657636
202004,6.9864,5.63%,0.996979707,7.655,4.92%,0.989811321,1.0957,-0.67%,0.992902839,332.7464789
