Period,TÜFE (Yıllık % Değişim),TÜFE (Aylık % Değişim),Yıllık Değişim ÜFE,ÜFE (Aylık % Değişim)
201701,9.22,2.46,13.69,3.98
201702,10.13,0.81,15.36,1.26
201703,11.29,1.02,16.09,1.04
201704,11.87,1.31,16.37,0.76
201705,11.72,0.45,15.26,0.52
201706,10.9,-0.27,14.87,0.07
201707,9.79,0.15,15.45,0.72
201708,10.68,0.52,16.34,0.85
201709,11.2,0.65,16.28,0.24
201710,11.9,2.08,17.28,1.71
201711,12.98,1.49,17.3,2.02
201712,11.92,0.69,15.47,1.37
201801,10.35,1.02,12.14,0.99
201802,10.26,0.73,13.71,2.68
201803,10.23,0.99,14.28,1.54
201804,10.85,1.87,16.37,2.6
201805,12.15,1.62,20.16,3.79
201806,15.39,2.61,23.71,3.03
201807,15.85,0.55,25,1.77
201808,17.9,2.3,32.13,6.6
201809,24.52,6.3,46.15,10.88
201810,25.24,2.67,45.01,0.91
201811,21.62,-1.44,38.54,-2.53
201812,20.3,-0.4,33.64,-2.22
201901,20.35,1.06,32.93,0.45
201902,19.67,0.16,29.59,0.09
201903,19.71,1.03,29.64,1.58
201904,19.5,1.69,30.12,2.98
201905,18.71,0.95,28.71,2.67
201906,15.72,0.03,25.04,0.09
201907,16.65,1.36,21.66,-0.99
201908,15.01,0.86,13.45,-0.59
201909,9.26,0.99,2.45,0.13
201910,8.55,2,1.7,0.17
201911,10.56,0.38,4.26,-0.08
201912,11.84,0.74,7.36,0.69
202001,12.15,1.35,8.84,1.84
202002,12.37,0.35,9.26,0.48
202003,11.86,0.57,8.5,0.87
202004,10.94,0.85,6.71,1.28
