Date,sentiment_analysis_acik_eczane_polarity
201701,0.416666666666667
201702,0.25
201703,1
201704,1
201705,0.777777777777778
201706,1.35714285714286
201707,0.666666666666667
201708,0.92
201709,0.75
201710,1.5
201711,0.818181818181818
201712,0.941176470588235
201801,1.57142857142857
201802,0.888888888888889
201803,0.615384615384615
201804,2
201805,0.75
201806,1
201807,0.5625
201808,1
201809,1.5
201810,1.11111111111111
201811,1.72727272727273
201812,1
201901,1.1875
201902,1.78571428571429
201903,0.85
201904,1.05
201905,0.5
201906,0.925925925925926
201907,0.444444444444444
201908,1
201909,1.1
201910,0.958333333333333
201911,1.33333333333333
201912,0.619047619047619
202001,1.15625
202002,1
202003,0.693877551020408
202004,0.833333333333333
