"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 20","1,011.10","882.86","1,023.28","878.89","47.60B","12.79%"
"Mar 20","896.44","1,083.79","1,131.07","819.36","40.78B","-15.43%"
"Feb 20","1,059.94","1,194.37","1,238.45","993.32","48.91B","-11.03%"
"Jan 20","1,191.40","1,149.03","1,245.37","1,107.46","56.26B","4.12%"
"Dec 19","1,144.25","1,073.50","1,153.12","1,067.02","49.71B","7.04%"
"Nov 19","1,069.04","986.90","1,081.42","976.79","36.05B","8.57%"
"Oct 19","984.69","1,052.75","1,052.97","930.32","32.95B","-6.25%"
"Sep 19","1,050.33","967.38","1,058.34","967.38","33.11B","8.60%"
"Aug 19","967.18","1,013.42","1,021.83","943.49","19.51B","-5.25%"
"Jul 19","1,020.82","986.63","1,041.54","962.71","28.16B","5.80%"
"Jun 19","964.85","903.36","966.50","898.20","19.89B","6.51%"
"May 19","905.90","957.30","960.50","835.35","25.07B","-5.06%"
"Apr 19","954.16","939.08","992.14","918.64","23.56B","1.74%"
"Mar 19","937.84","1,046.90","1,059.29","905.24","31.89B","-10.28%"
"Feb 19","1,045.30","1,040.61","1,052.69","1,007.13","27.21B","0.44%"
"Jan 19","1,040.74","909.86","1,059.30","873.99","28.82B","14.03%"
"Dec 18","912.70","963.67","968.30","893.38","20.25B","-4.35%"
"Nov 18","954.16","902.54","962.82","899.50","27.60B","5.78%"
"Oct 18","902.01","1,000.75","1,006.47","885.64","29.89B","-9.76%"
"Sep 18","999.57","922.91","1,006.38","912.06","27.19B","7.80%"
"Aug 18","927.23","971.22","987.44","846.54","25.55B","-4.36%"
"Jul 18","969.52","960.94","1,008.08","881.69","28.49B","0.45%"
"Jun 18","965.20","1,007.07","1,007.93","922.89","20.09B","-4.11%"
"May 18","1,006.52","1,048.15","1,065.25","978.49","22.85B","-3.48%"
"Apr 18","1,042.83","1,152.17","1,154.65","1,037.50","22.03B","-9.26%"
"Mar 18","1,149.30","1,186.30","1,191.15","1,134.26","23.76B","-3.38%"
"Feb 18","1,189.51","1,200.16","1,208.94","1,125.04","19.56B","-0.48%"
"Jan 18","1,195.29","1,157.35","1,215.32","1,111.07","29.95B","3.64%"
"Dec 17","1,153.33","1,039.11","1,158.40","1,030.95","18.79B","10.91%"
"Nov 17","1,039.84","1,105.13","1,150.93","1,014.91","25.31B","-5.59%"
"Oct 17","1,101.43","1,029.34","1,101.43","992.10","19.87B","7.03%"
"Sep 17","1,029.08","1,103.49","1,104.40","1,009.87","18.54B","-6.46%"
"Aug 17","1,100.10","1,078.85","1,105.31","1,049.39","22.92B","2.31%"
"Jul 17","1,075.31","1,006.39","1,086.06","1,000.84","17.87B","7.06%"
"Jun 17","1,004.40","978.54","1,009.91","969.26","16.02B","2.97%"
"May 17","975.42","949.94","987.95","930.00","18.52B","3.05%"
"Apr 17","946.55","890.20","951.96","879.98","14.66B","6.42%"
"Mar 17","889.47","877.20","914.97","876.39","16.46B","1.68%"
"Feb 17","874.78","863.90","895.83","860.01","16.34B","1.37%"
"Jan 17","862.96","779.07","867.17","756.57","18.36B","10.44%"
