"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 20","4.780","4.664","5.360","4.152","1.90B","0.21%"
"Mar 20","4.770","3.910","5.340","2.930","1.09B","24.87%"
"Feb 20","3.820","4.180","4.450","3.150","320.93M","-8.61%"
"Jan 20","4.180","3.720","4.350","3.530","546.74M","12.67%"
"Dec 19","3.710","3.490","3.850","3.440","535.85M","7.23%"
"Nov 19","3.460","3.020","3.590","2.980","402.66M","15.33%"
"Oct 19","3.000","3.130","3.270","2.860","117.08M","-3.85%"
"Sep 19","3.120","2.620","3.160","2.590","133.20M","19.54%"
"Aug 19","2.610","2.410","2.670","2.290","49.53M","7.41%"
"Jul 19","2.430","2.390","2.490","2.260","50.43M","3.40%"
"Jun 19","2.350","2.310","2.420","2.250","41.54M","1.73%"
"May 19","2.310","2.434","2.461","2.140","59.61M","-7.15%"
"Apr 19","2.488","2.425","2.550","2.363","56.33M","3.71%"
"Mar 19","2.399","2.728","2.870","2.310","58.98M","-12.06%"
"Feb 19","2.728","2.639","2.852","2.541","63.11M","3.37%"
"Jan 19","2.639","2.425","2.710","2.301","76.18M","8.82%"
"Dec 18","2.425","2.710","2.745","2.390","50.24M","-9.62%"
"Nov 18","2.683","2.639","2.781","2.523","83.42M","1.67%"
"Oct 18","2.639","3.279","3.332","2.612","55.14M","-19.30%"
"Sep 18","3.270","3.305","3.421","3.119","59.41M","-0.52%"
"Aug 18","3.287","3.172","3.332","2.914","145.44M","3.92%"
"Jul 18","3.163","3.003","3.607","2.639","326.93M","5.33%"
"Jun 18","3.003","3.047","3.110","2.888","62.53M","-1.44%"
"May 18","3.047","3.419","3.461","3.012","88.40M","-11.11%"
"Apr 18","3.428","3.664","3.798","3.268","153.41M","-6.00%"
"Mar 18","3.647","3.520","3.815","3.428","219.60M","3.61%"
"Feb 18","3.520","4.009","4.034","3.453","110.00M","-11.65%"
"Jan 18","3.984","3.731","4.034","3.672","258.96M","7.27%"
"Dec 17","3.714","3.512","3.815","3.453","126.50M","5.24%"
"Nov 17","3.529","3.925","4.160","3.436","147.69M","-9.09%"
"Oct 17","3.882","3.638","3.925","3.419","109.44M","7.18%"
"Sep 17","3.622","3.849","4.194","3.394","153.27M","-5.48%"
"Aug 17","3.832","4.059","4.245","3.638","179.80M","-5.22%"
"Jul 17","4.043","4.017","4.135","3.874","212.69M","1.48%"
"Jun 17","3.984","3.840","4.160","3.613","460.56M","1.94%"
"May 17","3.908","3.199","4.278","3.057","217.92M","23.87%"
"Apr 17","3.155","2.753","3.184","2.738","67.37M","15.23%"
"Mar 17","2.738","2.485","2.790","2.485","97.86M","10.18%"
"Feb 17","2.485","2.426","2.798","2.411","92.50M","2.77%"
"Jan 17","2.418","2.321","2.470","2.210","79.45M","4.18%"
