"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 20","7.590","7.304","8.390","6.747","182.79M","1.61%"
"Mar 20","7.470","6.800","9.140","5.370","199.09M","13.70%"
"Feb 20","6.570","7.260","7.820","5.550","23.64M","-8.24%"
"Jan 20","7.160","6.120","8.040","5.660","40.66M","17.38%"
"Dec 19","6.100","5.550","6.320","5.550","15.16M","10.31%"
"Nov 19","5.530","5.820","5.980","5.200","18.22M","-5.15%"
"Oct 19","5.830","5.080","5.900","4.740","9.58M","15.22%"
"Sep 19","5.060","4.890","5.380","4.830","8.42M","3.48%"
"Aug 19","4.890","4.630","4.990","4.390","7.54M","5.39%"
"Jul 19","4.640","4.920","5.000","4.280","9.20M","-4.92%"
"Jun 19","4.880","4.690","5.020","4.400","8.98M","4.05%"
"May 19","4.690","4.000","4.780","3.770","16.13M","16.96%"
"Apr 19","4.010","3.732","4.290","3.595","7.36M","7.45%"
"Mar 19","3.732","3.800","3.966","3.634","8.49M","-1.03%"
"Feb 19","3.771","3.206","3.878","3.118","26.50M","16.93%"
"Jan 19","3.225","2.728","3.303","2.670","9.97M","18.61%"
"Dec 18","2.719","2.855","3.040","2.631","8.13M","-4.09%"
"Nov 18","2.835","2.952","3.099","2.738","7.16M","-3.67%"
"Oct 18","2.943","3.235","3.352","2.913","11.71M","-9.03%"
"Sep 18","3.235","3.030","3.371","2.991","27.91M","6.77%"
"Aug 18","3.030","3.722","3.888","3.021","12.26M","-18.17%"
"Jul 18","3.703","3.732","3.820","3.527","8.21M","-1.02%"
"Jun 18","3.741","3.751","3.907","3.430","10.23M","-1.03%"
"May 18","3.780","3.323","3.975","3.215","23.20M","14.44%"
"Apr 18","3.303","3.536","3.605","3.235","6.71M","-6.32%"
"Mar 18","3.526","3.574","3.678","3.356","9.57M","-0.82%"
"Feb 18","3.555","3.792","3.839","3.498","8.86M","-6.00%"
"Jan 18","3.782","3.412","3.848","3.308","30.51M","10.84%"
"Dec 17","3.412","3.128","3.469","3.100","13.73M","9.08%"
"Nov 17","3.128","3.507","3.678","2.948","18.92M","-10.32%"
"Oct 17","3.488","3.109","3.621","3.090","30.66M","12.19%"
"Sep 17","3.109","3.697","3.754","2.986","16.32M","-16.54%"
"Aug 17","3.725","3.706","3.924","3.630","13.06M","1.03%"
"Jul 17","3.687","3.848","3.934","3.678","9.31M","-5.12%"
"Jun 17","3.886","3.697","3.972","3.611","8.76M","5.11%"
"May 17","3.697","3.362","3.754","3.270","20.26M","10.26%"
"Apr 17","3.353","3.103","3.390","3.094","13.19M","8.37%"
"Mar 17","3.094","3.149","3.288","3.038","10.80M","-0.29%"
"Feb 17","3.103","3.205","3.492","3.103","7.41M","-2.91%"
"Jan 17","3.196","2.834","3.242","2.825","18.11M","12.38%"
