Satırlar|||Adana-1|Adıyaman-2|Afyonkarahisar-3|Aksaray-68|Amasya-5|Ankara-6|Antalya-7|Ardahan-75|Artvin-8|Aydın-9|Ağrı-4|Balıkesir-10|Bartın-74|Batman-72|Bayburt-69|Bilecik-11|Bingöl-12|Bitlis-13|Bolu-14|Burdur-15|Bursa-16|Denizli-20|Diyarbakır-21|Düzce-81|Edirne-22|Elazığ-23|Erzincan-24|Erzurum-25|Eskişehir-26|Gaziantep-27|Giresun-28|Gümüşhane-29|Hakkari-30|Hatay-31|Isparta-32|Iğdır-76|Kahramanmaraş-46|Karabük-78|Karaman-70|Kars-36|Kastamonu-37|Kayseri-38|Kilis-79|Kocaeli-41|Konya-42|Kütahya-43|Kırklareli-39|Kırıkkale-71|Kırşehir-40|Malatya-44|Manisa-45|Mardin-47|Mersin-33|Muğla-48|Muş-49|Nevşehir-50|Niğde-51|Ordu-52|Osmaniye-80|Rize-53|Sakarya-54|Samsun-55|Siirt-56|Sinop-57|Sivas-58|Tekirdağ-59|Tokat-60|Trabzon-61|Tunceli-62|Uşak-64|Van-65|Yalova-77|Yozgat-66|Zonguldak-67|Çanakkale-17|Çankırı-18|Çorum-19|İstanbul-34|İzmir-35|Şanlıurfa-63|Şırnak-73|
Yaşlara Göre Çocuk Nüfus|Cinsiyeti:Erkek ve Yaş:0|2017|18301.0|6268.0|5116.0|3239.0|1907.0|37463.0|16575.0|695.0|916.0|6968.0|7002.0|6449.0|951.0|6908.0|506.0|1304.0|2618.0|4104.0|1725.0|1400.0|21547.0|6751.0|21256.0|2604.0|1987.0|4318.0|1520.0|6840.0|5108.0|22605.0|2211.0|949.0|2654.0|14412.0|2676.0|2039.0|10388.0|1302.0|1811.0|2743.0|1904.0|10526.0|1310.0|15644.0|17366.0|3161.0|1838.0|1678.0|1396.0|5794.0|9228.0|9971.0|13404.0|5589.0|5107.0|1926.0|2701.0|4434.0|4492.0|1997.0|7233.0|8389.0|3919.0|1161.0|4436.0|7531.0|3547.0|5085.0|468.0|2344.0|13769.0|1644.0|2762.0|3020.0|2767.0|1020.0|3210.0|114918.0|26735.0|30768.0|6646.0|
||2018|17474.0|6165.0|5044.0|3274.0|1879.0|36461.0|16217.0|622.0|882.0|6667.0|6442.0|6342.0|1003.0|6879.0|522.0|1357.0|2743.0|4031.0|1740.0|1416.0|21363.0|6401.0|20790.0|2636.0|1963.0|4164.0|1428.0|6515.0|4934.0|22430.0|2298.0|964.0|2649.0|14201.0|2437.0|1940.0|9892.0|1257.0|1792.0|2544.0|1925.0|10280.0|1463.0|15318.0|16889.0|3100.0|1843.0|1617.0|1475.0|5641.0|9178.0|9908.0|13352.0|5472.0|4969.0|1969.0|2641.0|4369.0|4286.0|2087.0|7483.0|8308.0|3895.0|1137.0|4140.0|7691.0|3516.0|5071.0|563.0|2167.0|13233.0|1662.0|2633.0|2986.0|2754.0|1291.0|3125.0|111172.0|25591.0|30806.0|6894.0|
||2019|16652.0|5584.0|4842.0|3081.0|1757.0|34513.0|15587.0|639.0|898.0|6291.0|6404.0|5920.0|931.0|6565.0|557.0|1227.0|2596.0|3890.0|1683.0|1283.0|20253.0|6016.0|19538.0|2551.0|1865.0|3904.0|1427.0|6175.0|4657.0|20845.0|2109.0|854.0|2760.0|13540.0|2326.0|1920.0|9356.0|1177.0|1701.0|2408.0|1796.0|9799.0|1329.0|14639.0|16121.0|2869.0|1729.0|1539.0|1428.0|5312.0|8870.0|9724.0|12260.0|5177.0|4788.0|1836.0|2498.0|4239.0|4078.0|1983.0|7033.0|7832.0|3736.0|1120.0|3969.0|7106.0|3443.0|4796.0|527.0|2034.0|13091.0|1510.0|2413.0|2808.0|2649.0|1062.0|2805.0|104448.0|23966.0|29164.0|6690.0|
|Cinsiyeti:Erkek ve Yaş:1|2017|19193.0|6401.0|5388.0|3470.0|1986.0|39726.0|18249.0|658.0|995.0|7152.0|7148.0|6659.0|1088.0|7091.0|577.0|1400.0|2736.0|4232.0|1801.0|1477.0|22324.0|6994.0|21763.0|2818.0|2158.0|4522.0|1661.0|7159.0|5288.0|23838.0|2375.0|1115.0|2738.0|15776.0|2670.0|2157.0|11028.0|1219.0|1892.0|2741.0|2082.0|11366.0|1425.0|16103.0|18187.0|3363.0|1867.0|1730.0|1591.0|6119.0|9835.0|10128.0|14419.0|5827.0|4966.0|2102.0|2866.0|4629.0|4659.0|2139.0|7457.0|8715.0|4130.0|1159.0|4573.0|7796.0|3780.0|5315.0|481.0|2235.0|13954.0|1805.0|2855.0|3202.0|2829.0|1173.0|3449.0|120752.0|28297.0|31403.0|6279.0|
||2018|18910.0|6521.0|5304.0|3426.0|1976.0|39168.0|17607.0|720.0|982.0|7242.0|7041.0|6737.0|1005.0|7159.0|537.0|1376.0|2736.0|4202.0|1797.0|1467.0|22477.0|6913.0|21861.0|2741.0|2045.0|4506.0|1566.0|6923.0|5366.0|23141.0|2304.0|1006.0|2751.0|15297.0|2780.0|2094.0|10639.0|1384.0|1857.0|2764.0|1975.0|10816.0|1442.0|16151.0|17976.0|3282.0|1922.0|1752.0|1492.0|5987.0|9516.0|10352.0|14070.0|5803.0|5183.0|2051.0|2805.0|4708.0|4640.0|2109.0|7610.0|8805.0|4071.0|1253.0|4607.0|7824.0|3717.0|5291.0|514.0|2414.0|14024.0|1819.0|2896.0|3153.0|2912.0|1259.0|3371.0|118165.0|27849.0|31911.0|6945.0|
||2019|17845.0|6289.0|5112.0|3350.0|1932.0|37919.0|17172.0|623.0|913.0|6894.0|6437.0|6593.0|997.0|7049.0|539.0|1392.0|2778.0|4100.0|1798.0|1448.0|22084.0|6538.0|21166.0|2701.0|1979.0|4259.0|1476.0|6615.0|5107.0|23024.0|2334.0|1002.0|2708.0|14592.0|2533.0|2028.0|10009.0|1282.0|1841.0|2585.0|1930.0|10610.0|1462.0|15800.0|17319.0|3155.0|1894.0|1625.0|1507.0|5806.0|9423.0|10208.0|13806.0|5728.0|5051.0|2043.0|2640.0|4433.0|4413.0|2126.0|7722.0|8510.0|3971.0|1150.0|4198.0|7833.0|3590.0|5151.0|568.0|2208.0|13580.0|1789.0|2674.0|2977.0|2824.0|1205.0|3149.0|115127.0|26441.0|31475.0|7082.0|
|Cinsiyeti:Erkek ve Yaş:10|2017|19599.0|6001.0|5653.0|3686.0|2324.0|41216.0|18671.0|739.0|991.0|7354.0|6309.0|7526.0|1197.0|7108.0|572.0|1424.0|2578.0|3929.0|1914.0|1689.0|22320.0|7431.0|19076.0|2902.0|2166.0|4653.0|1561.0|6775.0|5360.0|22464.0|2731.0|1144.0|3071.0|15625.0|2993.0|1952.0|11917.0|1463.0|1971.0|2666.0|2236.0|12287.0|1340.0|15404.0|18874.0|3751.0|1951.0|2000.0|1744.0|6597.0|10455.0|9211.0|15120.0|6308.0|4834.0|2337.0|2973.0|5333.0|5176.0|2259.0|7668.0|9703.0|3932.0|1191.0|4836.0|7535.0|4463.0|5472.0|364.0|2543.0|13108.0|1828.0|3419.0|4088.0|3033.0|1192.0|3762.0|114855.0|28715.0|25180.0|6665.0|
||2018|20177.0|6317.0|5714.0|3765.0|2312.0|42054.0|18977.0|672.0|978.0|7640.0|6203.0|7352.0|1224.0|7209.0|587.0|1439.0|2440.0|3812.0|2032.0|1593.0|23076.0|7578.0|19182.0|2879.0|2229.0|4823.0|1543.0|6650.0|5578.0|22859.0|2700.0|1003.0|2904.0|16070.0|3025.0|1954.0|11866.0|1536.0|1973.0|2736.0|2274.0|12590.0|1372.0|15738.0|18734.0|3717.0|1902.0|2069.0|1740.0|6703.0|10247.0|9423.0|15123.0|6303.0|4773.0|2226.0|3154.0|5546.0|5293.0|2227.0|7700.0|9932.0|3866.0|1298.0|4837.0|7596.0|4395.0|5609.0|388.0|2483.0|13019.0|1818.0|3330.0|4159.0|2954.0|1398.0|3813.0|115223.0|28886.0|25987.0|6372.0|
||2019|19189.0|5836.0|5599.0|3710.0|2214.0|41309.0|18864.0|716.0|925.0|7176.0|6189.0|7120.0|1156.0|6850.0|567.0|1407.0|2347.0|3755.0|2003.0|1628.0|22720.0|7100.0|18230.0|2799.0|2068.0|4612.0|1482.0|6446.0|5604.0|22294.0|2602.0|1002.0|2707.0|15620.0|2913.0|1977.0|11271.0|1446.0|1944.0|2615.0|2112.0|11993.0|1322.0|15411.0|18101.0|3470.0|1873.0|1857.0|1593.0|6525.0|9966.0|8872.0|14968.0|6367.0|4697.0|2247.0|2995.0|5150.0|5092.0|2237.0|7553.0|9593.0|3724.0|1305.0|4584.0|7696.0|4388.0|5676.0|368.0|2411.0|12787.0|1941.0|3178.0|3968.0|2942.0|1202.0|3711.0|113683.0|28088.0|25685.0|6324.0|
|Cinsiyeti:Erkek ve Yaş:11|2017|19276.0|6086.0|5516.0|3663.0|2084.0|39213.0|17901.0|813.0|950.0|7198.0|6297.0|7305.0|1173.0|6933.0|576.0|1356.0|2377.0|3971.0|1880.0|1622.0|21646.0|7189.0|18630.0|2779.0|2088.0|4731.0|1519.0|6611.0|5314.0|21463.0|2657.0|1222.0|3062.0|15176.0|2925.0|1892.0|11328.0|1461.0|1954.0|2720.0|2223.0|12125.0|1401.0|14487.0|18522.0|3630.0|1910.0|1963.0|1650.0|6487.0|10075.0|9392.0|14473.0|6078.0|4965.0|2212.0|3091.0|5107.0|5063.0|2228.0|7350.0|9423.0|4017.0|1242.0|4777.0|7220.0|4424.0|5252.0|368.0|2409.0|12898.0|1746.0|3386.0|3910.0|2872.0|1198.0|3854.0|108729.0|27337.0|25451.0|7191.0|
