Province,population
Adana,2 220 125
Adıyaman, 624 513
Afyonkarahisar, 725 568
Ağrı, 539 657
Amasya, 337 508
Ankara,5 503 985
Antalya,2 426 356
Artvin, 174 010
Aydın,1 097 746
Balıkesir,1 226 575
Bilecik, 223 448
Bingöl, 281 205
Bitlis, 349 396
Bolu, 311 810
Burdur, 269 926
Bursa,2 994 521
Çanakkale, 540 662
Çankırı, 216 362
Çorum, 536 483
Denizli,1 027 782
Diyarbakır,1 732 396
Edirne, 411 528
Elazığ, 595 638
Erzincan, 236 034
Erzurum, 767 848
Eskişehir, 871 187
Gaziantep,2 028 563
Giresun, 453 912
Gümüşhane, 162 748
Hakkari, 286 470
Hatay,1 609 856
Isparta, 441 412
Mersin,1 814 468
İstanbul,15 067 724
İzmir,4 320 519
Kars, 288 878
Kastamonu, 383 373
Kayseri,1 389 680
Kırklareli, 360 860
Kırşehir, 241 868
Kocaeli,1 906 391
Konya,2 205 609
Kütahya, 577 941
Malatya, 797 036
Manisa,1 429 643
Kahramanmaraş,1 144 851
Mardin, 829 195
Muğla, 967 487
Muş, 407 992
Nevşehir, 298 339
Niğde, 364 707
Ordu, 771 932
Rize, 348 608
Sakarya,1 010 700
Samsun,1 335 716
Siirt, 331 670
Sinop, 219 733
Sivas, 646 608
Tekirdağ,1 029 927
Tokat, 612 646
Trabzon, 807 903
Tunceli, 88 198
Şanlıurfa,2 035 809
Uşak, 367 514
Van,1 123 784
Yozgat, 424 981
Zonguldak, 599 698
Aksaray, 412 172
Bayburt, 82 274
Karaman, 251 913
Kırıkkale, 286 602
Batman, 599 103
Şırnak, 524 190
Bartın, 198 999
Ardahan, 98 907
Iğdır, 197 456
Yalova, 262 234
Karabük, 248 014
Kilis, 142 541
Osmaniye, 534 415
Düzce, 387 844
