||Erkek ve 0-4|Erkek ve 10-14|Erkek ve 15-19|Erkek ve 20-24|Erkek ve 25-29|Erkek ve 30-34|Erkek ve 35-39|Erkek ve 40-44|Erkek ve 45-49|Erkek ve 50-54|Erkek ve 55-59|Erkek ve 5-9|Erkek ve 60-64|Erkek ve 65-69|Erkek ve 70-74|Erkek ve 75-79|Erkek ve 80-84|Erkek ve 85-89|Erkek ve 90+|Kadın ve 0-4|Kadın ve 10-14|Kadın ve 15-19|Kadın ve 20-24|Kadın ve 25-29|Kadın ve 30-34|Kadın ve 35-39|Kadın ve 40-44|Kadın ve 45-49|Kadın ve 50-54|Kadın ve 55-59|Kadın ve 5-9|Kadın ve 60-64|Kadın ve 65-69|Kadın ve 70-74|Kadın ve 75-79|Kadın ve 80-84|Kadın ve 85-89|Kadın ve 90+|
2017|Adana-1|97512.0|93408.0|94576.0|83854.0|81203.0|84918.0|89858.0|79611.0|68741.0|64647.0|53873.0|96677.0|46331.0|32148.0|18920.0|11984.0|6754.0|3089.0|835.0|93082.0|88934.0|88853.0|80508.0|81164.0|84837.0|89396.0|79586.0|69056.0|64703.0|54859.0|91647.0|47294.0|35249.0|23325.0|16475.0|10134.0|5981.0|2453.0|
|Adıyaman-2|32252.0|29791.0|30669.0|25244.0|23861.0|23353.0|23238.0|18906.0|16330.0|15002.0|10660.0|30882.0|9587.0|7423.0|4781.0|3837.0|2309.0|1192.0|234.0|30379.0|28413.0|29521.0|26214.0|22789.0|22215.0|22462.0|19206.0|15397.0|13245.0|11114.0|29282.0|9695.0|8809.0|6358.0|4680.0|2830.0|1792.0|1124.0|
|Afyonkarahisar-3|27180.0|27574.0|30404.0|26827.0|25131.0|26318.0|27063.0|23069.0|22370.0|21013.0|19871.0|27514.0|16599.0|12513.0|8320.0|6314.0|4143.0|1831.0|384.0|25817.0|26259.0|29572.0|29186.0|24697.0|25726.0|26251.0|23550.0|22401.0|21269.0|20249.0|26176.0|17786.0|14044.0|10425.0|8540.0|5512.0|2961.0|834.0|
|Ağrı-4|35360.0|31525.0|33044.0|29592.0|24036.0|18152.0|17505.0|12953.0|10254.0|9614.0|7135.0|32761.0|6091.0|3585.0|2985.0|1755.0|1036.0|456.0|140.0|33637.0|30082.0|31067.0|24253.0|21640.0|15544.0|16300.0|11653.0|8536.0|8312.0|6613.0|30929.0|6634.0|4733.0|3426.0|2347.0|1391.0|815.0|394.0|
|Aksaray-68|17224.0|17360.0|18485.0|16223.0|15326.0|15404.0|15801.0|13507.0|11540.0|10727.0|8383.0|17754.0|7262.0|6213.0|3953.0|2647.0|1661.0|591.0|172.0|16374.0|16382.0|17913.0|17116.0|14512.0|14668.0|15320.0|13531.0|11777.0|10955.0|9046.0|16830.0|8058.0|7120.0|5003.0|3700.0|2297.0|1104.0|465.0|
|Amasya-5|10315.0|11101.0|12641.0|13711.0|11097.0|11421.0|12008.0|10872.0|10354.0|10689.0|9814.0|10890.0|8957.0|7195.0|5400.0|3837.0|2720.0|1152.0|220.0|9423.0|10438.0|12356.0|11354.0|10442.0|11192.0|12054.0|11086.0|10485.0|10992.0|10498.0|10321.0|9245.0|8080.0|6596.0|5010.0|3495.0|1848.0|579.0|
|Ankara-6|198527.0|193055.0|204847.0|217068.0|218785.0|225614.0|231693.0|207469.0|187059.0|171203.0|143022.0|198658.0|114156.0|77746.0|49776.0|32651.0|19096.0|9134.0|2933.0|188375.0|182447.0|195832.0|208295.0|218474.0|228167.0|236941.0|212303.0|191357.0|175841.0|146236.0|188258.0|119455.0|88125.0|61557.0|45744.0|29846.0|17804.0|7477.0|
|Antalya-7|89915.0|87390.0|88907.0|83075.0|87284.0|97838.0|106875.0|97578.0|87454.0|77270.0|62208.0|90394.0|49789.0|34385.0|22514.0|15592.0|8895.0|4062.0|1157.0|84897.0|82078.0|80862.0|82799.0|88851.0|97170.0|104902.0|95202.0|83800.0|73934.0|61607.0|85435.0|50077.0|36365.0|25043.0|18043.0|11345.0|6857.0|2547.0|
|Ardahan-75|3527.0|3966.0|4282.0|5013.0|3774.0|3528.0|3673.0|3372.0|2849.0|2743.0|2328.0|3510.0|2288.0|1878.0|1536.0|974.0|666.0|324.0|86.0|3404.0|3761.0|3922.0|4082.0|3292.0|3006.0|3091.0|2771.0|2448.0|2573.0|2218.0|3396.0|2174.0|2150.0|1813.0|1294.0|702.0|526.0|156.0|
|Artvin-8|4826.0|4889.0|5799.0|6643.0|5927.0|5830.0|5919.0|5683.0|5788.0|5886.0|5399.0|4725.0|4972.0|3726.0|2683.0|2198.0|1510.0|864.0|257.0|4646.0|4695.0|5723.0|6087.0|5505.0|5237.0|5374.0|5238.0|5581.0|5556.0|4908.0|4526.0|5243.0|4250.0|3478.0|2889.0|1725.0|1392.0|566.0|
|Aydın-9|35663.0|35350.0|38859.0|39702.0|37671.0|38546.0|41413.0|38067.0|36783.0|36319.0|35199.0|35687.0|30901.0|22624.0|15415.0|10728.0|6897.0|3065.0|837.0|33704.0|33342.0|36955.0|38025.0|35643.0|37400.0|40852.0|38262.0|36299.0|35904.0|35346.0|33734.0|31676.0|24157.0|18075.0|13699.0|10151.0|5736.0|2153.0|
